Query_Str,Post_URL,Author_Name,Author_Web_Page_URL,Author_Handle,Verified_Status,UTC_Time,Ads,Tweet_Content,Post_ID,Tweet_URL,Reply_Count,Repost_Count,Like_Count,View_Count,Bookmark_Count,Tweet_Image_URL,Replying_to,Reply_to_Whom,Reply_to_Whom_URL,Reply_to_Whom_Username,Reply_to_Whom_Handle,Language,Type
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-02-12 since:2025-02-11&src=typed_query,🌹Ross 🌹,https://x.com/rosana_guerra,rosana_guerra,False,2025-02-11 22:07:06+00:00,False,Aún continúan saliendo aguas negras y van a dar directo al canal que desfoga agua en la Laguna. Daytona Car Wash ubicado en calle Felix de Jesús Col. Lomas de Rosales sigue sin arreglar la fuga Atención Jaime Turrubiates dueño del Negocio @Comapa_Sur @MonicaVTampico #Tampico,1889436021881725045,https://x.com/rosana_guerra/status/1889436021881725045,1,5,7,653,0,,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-02-12 since:2025-02-11&src=typed_query,flaco2,https://x.com/Ancho72,Ancho72,False,2025-02-11 22:09:51+00:00,False,@rosana_guerra @Comapa_Sur @MonicaVTampico nada más le ponche cámara de llanta y ya hule nada más le amarran y ya,1889436713514414550,https://x.com/Ancho72/status/1889436713514414550,0,1,1,33,0,,True,rosana_guerra,https://x.com/rosana_guerra,🌹Ross 🌹,rosana_guerra,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-02-13 since:2025-02-12&src=typed_query,Vox Populi Noticias,https://x.com/VoxPopuliNoti,VoxPopuliNoti,True,2025-02-12 00:43:30+00:00,False,"Promoverá Mónica Villarreal Mayor Desarrollo Económico y Turístico de Tampico con Mc Allen, Texas Los días 12 y 13 de febrero estará en la ciudad texana donde sostendrá una serie de actividades https://voxpopulinoticias.com.mx/2025/02/monica-villarreal-visita-mcallen-para-fortalecer-lazos-con-tampico/ #Tampico #Tamaulipas @MonicaVTampico",1889475381498888558,https://x.com/VoxPopuliNoti/status/1889475381498888558,0,0,0,153,0,https://pbs.twimg.com/media/GjjDqsHW4AAX5ya.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-02-13 since:2025-02-12&src=typed_query,NOTIVIZA,https://x.com/Notiviza,Notiviza,True,2025-02-12 02:09:46+00:00,False,Arranca Mónica Villarreal Primer Gran Operativo de Limpieza y Bienestar en la colonia Morelos beneficio a más de 12 mil habitantes del sur de Tampico https://www.notivizanoreste.com.mx/estado/encabeza-monica-villarreal-primer-gran-operativo-de-limpieza-y-bienestar-en-la-colonia-morelos/ @MonicaVTampico @TampicoGob,1889497091673587988,https://x.com/Notiviza/status/1889497091673587988,0,1,0,29,0,https://pbs.twimg.com/media/GjjXh8ZWEAAv9ET.jpg;https://pbs.twimg.com/media/GjjXk2kWMAAGEpn.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-02-13 since:2025-02-12&src=typed_query,NOTIVIZA,https://x.com/Notiviza,Notiviza,True,2025-02-12 05:37:48+00:00,False,Arranca Mónica Villarreal Primer Gran Operativo de Limpieza y Bienestar en la colonia Morelos beneficio a más de 12 mil habitantes del sur de Tampico https://www.notivizanoreste.com.mx/estado/encabeza-monica-villarreal-primer-gran-operativo-de-limpieza-y-bienestar-en-la-colonia-morelos/ @MonicaVTampico @TampicoGob,1889549445089599677,https://x.com/Notiviza/status/1889549445089599677,0,1,0,36,0,,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-02-13 since:2025-02-12&src=typed_query,Vox Populi Noticias,https://x.com/VoxPopuliNoti,VoxPopuliNoti,True,2025-02-12 19:39:04+00:00,False,Firma Universidad Tecnológica del Mar de Tamaulipas Bicentenario convenio “Economía del Bienestar” con el Gobierno de Tampico 📌Iniciativa con @MonicaVTampico busca integrar a trabajadoras pesqueras en la economía formal https://voxpopulinoticias.com.mx/2025/02/convenio-economia-del-bienestar-en-tampico-promueve-economia/ . . #Tampico #Tamaulipas,1889761157080096914,https://x.com/VoxPopuliNoti/status/1889761157080096914,0,0,0,117,0,https://pbs.twimg.com/media/GjnHwTIXAAApklP.jpg;https://pbs.twimg.com/media/GjnHwWFWgAEB1DO.jpg;https://pbs.twimg.com/media/GjnHwTTXwAAAOW1.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-02-14 since:2025-02-13&src=typed_query,México Tendencia🇲🇽Noticias Última Hora🚨,https://x.com/MexicoTendencia,MexicoTendencia,False,2025-02-13 02:15:50+00:00,False,"La falsa zurda morenista, hipócrita, Mónica Villarreal Anaya, presitonta de Tampico, Tamaulipas, hermana del gober-narco Américo Villarreal, viaja mucho a McAllen, Texas. Seguramente se va de shopping o ya compró una casa, con todo lo que se está robando #Tampico @MonicaVTampico",1889861006660346137,https://x.com/MexicoTendencia/status/1889861006660346137,0,0,1,208,0,https://pbs.twimg.com/media/GjoibjfW8AA7zBB.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-02-14 since:2025-02-13&src=typed_query,NOTIVIZA,https://x.com/Notiviza,Notiviza,True,2025-02-13 02:50:04+00:00,False,"La Presidenta municipal Mónica Villarreal Anaya destacó que Tampico y Mc Allen comparten grandes similitudes, que con el acuerdo de amistad suscrito entre ambas ciudades, se verán fortalecidas. https://www.notivizanoreste.com.mx/nacional/tampico-y-mc-allen-comparten-una-misma-vision-para-el-desarrollo-a-traves-de-la-cooperacion-mutua-monica-villarreal/ @MonicaVTampico @TampicoGob",1889869622285050202,https://x.com/Notiviza/status/1889869622285050202,0,1,0,41,0,https://pbs.twimg.com/media/Gjop4k3WwAEfSU1.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-02-14 since:2025-02-13&src=typed_query,Vox Populi Noticias,https://x.com/VoxPopuliNoti,VoxPopuliNoti,True,2025-02-13 06:01:20+00:00,False,Habilitan nuevo carril de almacenamiento para mejorar la vialidad en Tampico Tampico habilita nuevo carril de almacenamiento en Av. Hidalgo y Regiomontana para agilizar el tránsito y mejorar la seguridad vial https://voxpopulinoticias.com.mx/2025/02/tampico-habilita-nuevo-carril-en-avenida-hidalgo/ #Tampico #Tamaulipas @MonicaVTampico,1889917754662400299,https://x.com/VoxPopuliNoti/status/1889917754662400299,0,1,0,240,0,https://pbs.twimg.com/media/GjpWGLmWgAA6JqJ.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-02-14 since:2025-02-13&src=typed_query,NOTIVIZA,https://x.com/Notiviza,Notiviza,True,2025-02-13 16:46:27+00:00,False,"La Presidenta municipal Mónica Villarreal Anaya destacó que Tampico y Mc Allen comparten grandes similitudes, que con el acuerdo de amistad suscrito entre ambas ciudades, se verán fortalecidas. https://www.notivizanoreste.com.mx/internacional/tampico-y-mc-allen-comparten-una-misma-vision-para-el-desarrollo-a-traves-de-la-cooperacion-mutua-monica-villarreal/ @MonicaVTampico @TampicoGob",1890080105571225869,https://x.com/Notiviza/status/1890080105571225869,0,1,0,29,0,,False,,,,,es,Top
