comment_text,published_at,query
Los católicos no andan de luto andan crudos después de la semana santa.,2025-04-22T06:11:05Z,gobierno de Tampico
Eso parece una modalidad importada 🤔,2025-04-22T07:37:12Z,gobierno de Tampico
Cual lección de inglés para defender a los mexicanos???? Jjajajaja😂,2025-04-22T13:28:19Z,presidenta municipal de Tampico
Cual lección de inglés para defender a los mexicanos???? Jjajajaja😂,2025-04-22T13:28:19Z,Presidenta municipal de Tampico
Ese no es rubí Pérez,2025-04-22T13:30:57Z,Presidenta municipal de Tampico
Dicen que la historia se repite esperemos que esta vez no sea así,2025-04-22T17:50:41Z,gobierno de Tampico
Chulada chulada de película,2025-04-22T18:08:15Z,presidenta municipal de Tampico
Chulada chulada de película,2025-04-22T18:08:15Z,Presidenta municipal de Tampico
Esos son los 300,2025-04-22T18:53:15Z,gobierno de Tampico
"Pero ésto surgió de que muchas personas adquirieron su vivienda y posteriormente al no poder sustentar el crédito hipotecario, se afiliaron a éste tipo de asociaciones con la creencia que su vivienda podría ser condonada o en su defecto rebajada para ya no continuar con la deuda, algo totalmente absurdo. Sirviéndose de éste poder dichas asociaciones como los zapatistas, villistas, croc, antorchistas, los 300, barzón, etc. Ahora no nada más lucran y hacen creer que la vivienda te puede costar unos cuantos pesos si no que  invaden las de otras personas para rentarlas y hasta venderlas con registros, escrituras, contratos, etc ilícitos y proporcionados cínicamente e impunemente por la ley",2025-04-22T19:05:00Z,gobierno de Tampico
"Si tanto se preocupaba de los pobres, me preguntó a cuántos pobres ayudó este caballero?",2025-04-22T19:12:01Z,gobierno de Tampico
"Todos trabajan para el gobierno, todas esas asociaciones como los 300 son grupos de choque, son la escoria de la sociedad.",2025-04-22T19:45:17Z,gobierno de Tampico
Apoyo total a nuestra presidenta claudia sheimbaum 👏🏻👏🏻👏🏻👏🏻🇲🇽🇲🇽,2025-04-22T20:10:27Z,gobierno de Tampico
Persona mala,2025-04-22T20:17:00Z,Gobierno de Tampico
Persona mala,2025-04-22T20:17:00Z,gobierno de Tampico
Aparte. De.  Chingona. Q. Guapa.  Mi. Presidenta    mi. Dios.  La. Bendiga,2025-04-22T20:27:01Z,gobierno de Tampico
😂😂 siempre tienen otros datos..<br><br>Chairos  inventigen porfavor..<br>No se traten todo,2025-04-22T20:29:34Z,Gobierno de Tampico
😂😂 siempre tienen otros datos..<br><br>Chairos  inventigen porfavor..<br>No se traten todo,2025-04-22T20:29:34Z,gobierno de Tampico
🐸🐸🐸🐸🐸🐸🐸💚💚💚💚💚💚,2025-04-22T21:15:25Z,presidenta municipal de Tampico
🐸🐸🐸🐸🐸🐸🐸💚💚💚💚💚💚,2025-04-22T21:15:25Z,Presidenta municipal de Tampico
AUXILIO!!! COL.VALLEJO GAM CP 07870 ahi vive una lider de invasores  !!!!,2025-04-22T22:22:06Z,gobierno de Tampico
CLARO EL ERA MUY HUMANISTA PERO TAN HUMANISTA QUE  MANDO A MATAR A DOS SEMINARISTA CON LA GUARDIA  ACUSANDOLOS  DE GUERRILLEROS LOS MATARON Y LOS DESAPARECIERON SI NO ME CREEN  LEAN LA BIOGRAFIA DE ESTE HUMANISTA,2025-04-22T22:46:19Z,gobierno de Tampico
No creó que lo superaron,2025-04-22T22:54:27Z,presidenta municipal de Tampico
No creó que lo superaron,2025-04-22T22:54:27Z,Presidenta municipal de Tampico
"Muy bien por nuestros revolucionarios eso es amor a la Patria y no debemos permitir que entren a nuestro México esos gringos, por cierto ese peinado le luce bien Presidenta hasta se ve más guapa y joven y bella",2025-04-22T23:23:52Z,gobierno de Tampico
Yo estoy en las mismas y el Infonavit está coludido con los que invadieron mi vivienda y aun me siguen descontando semana con semana sin falta,2025-04-22T23:59:07Z,gobierno de Tampico
Eres un chingo sigui asi😮,2025-04-23T00:25:40Z,gobierno de Tampico
"Nuestra querida Presidenta Claudia Sheimbaum leyendo la Historia de México, ante los Marinos ⚓de 🇲🇽, Recordándoles k los 🇺🇲 son Mentirosos y Marrulleros Taimados dese hace siglos, y este día se Recuerda la Invasión en Veracruz, con el Pretexto de Neutralizar a Victoriano Huerta, Traidor de Juárez y agente de Porfirio Días y la 🇻🇦",2025-04-23T00:27:02Z,gobierno de Tampico
Bien dicho don José,2025-04-23T00:46:04Z,presidenta municipal de Tampico
Bien dicho don José,2025-04-23T00:46:04Z,Presidenta municipal de Tampico
Actorazo Ernesto Gómez Cruz.,2025-04-23T01:00:49Z,presidenta municipal de Tampico
Actorazo Ernesto Gómez Cruz.,2025-04-23T01:00:49Z,Presidenta municipal de Tampico
Aca por tampico solo los franceses nos dejaron el pan frances conocido por otros estados como birote bolillo,2025-04-23T01:41:23Z,gobierno de Tampico
Así fueron esos mèndigos expresidentes  Prianistas  de mierda...ni cómo  decirlo mejor !!!,2025-04-23T02:26:20Z,presidenta municipal de Tampico
Así fueron esos mèndigos expresidentes  Prianistas  de mierda...ni cómo  decirlo mejor !!!,2025-04-23T02:26:20Z,Presidenta municipal de Tampico
HIPÓCRITA,2025-04-23T02:56:17Z,gobierno de Tampico
El intierro de Rubby Pérez fue con alabanza cristiana.,2025-04-23T03:18:48Z,Presidenta municipal de Tampico
Ese no fue  el entierro de Rubby Pérez esa no es su familia y tampoco la ceremonia que hicieron y su familia lo enterraron con alabanzas cristiana.,2025-04-23T03:22:33Z,Presidenta municipal de Tampico
Si ya tienen los nombres de los grupos que invaden deberían de ir por elllos que se hacen llamar asociaciones civiles y realmente son grupos de choque de morena por eso también no hacen nada,2025-04-23T03:37:23Z,gobierno de Tampico
Y que dicen los prianistas porque esta hecha en base a ellos esta pelicula fue dedicada para ellos el borracho del calderón se molesto tanto que queria proibirla ...pero se la pelo el fecal,2025-04-23T03:50:05Z,presidenta municipal de Tampico
Y que dicen los prianistas porque esta hecha en base a ellos esta pelicula fue dedicada para ellos el borracho del calderón se molesto tanto que queria proibirla ...pero se la pelo el fecal,2025-04-23T03:50:05Z,Presidenta municipal de Tampico
Ha huevo  asi es,2025-04-23T04:13:16Z,presidenta municipal de Tampico
Ha huevo  asi es,2025-04-23T04:13:16Z,Presidenta municipal de Tampico
Mi poderosisimo Tampico york,2025-04-23T04:14:54Z,Gobierno de Tampico
Mi poderosisimo Tampico york,2025-04-23T04:14:54Z,gobierno de Tampico
A mí despojaron en villa del real en tecamac con todo y actuario y fuerza pública además de 30 golpeadores de mínimo sin dejar ningún papel del supuesto desalojo y aún sigo sin wue se haga nada,2025-04-23T04:50:47Z,gobierno de Tampico
$adb🤔y’s🎉🙏💯,2025-04-23T05:17:51Z,gobierno de Tampico
Su voz de junior h poco a poco se le cierra 😔<br>Rip,2025-04-23T05:40:49Z,gobierno de Tampico
EXCELENTE VIDEO VIMOS LA REPETICIÓN LISTO LIKE Y APOYO SALUDOS AMIGO 🫂,2025-04-23T07:59:49Z,Gobierno de Tampico
EXCELENTE VIDEO VIMOS LA REPETICIÓN LISTO LIKE Y APOYO SALUDOS AMIGO 🫂,2025-04-23T07:59:49Z,gobierno de Tampico
Que vergüenza del gobierno por que no hacen nada...!!!!,2025-04-23T13:25:41Z,gobierno de Tampico
"Desgraciadamente nuestras autoridades no hacen nada. Todos estamos en peligro. Todos sabemos que estamos en un país donde no se hace justicia. Con dinero baila el perro Detienen a delincuentes entrega  lo que les ponen de fianza para salir y nuevamente a robar para recuperar lo que dió , por salir libre de la cárcel nuevamente a la calle seguir engordando el bolsillo . Esto no se va terminar nunca. Hasta que llegue un presidente que no sea corrupto. Un Nayib  Bukele. A nuestros presidentes. Les vale Arcelia que Teloloapan se arda",2025-04-23T14:24:30Z,gobierno de Tampico
Yo no sabia que triste soy catolico,2025-04-23T15:07:48Z,gobierno de Tampico
Teamo estás casada smor,2025-04-23T18:23:59Z,gobierno de Tampico
Y si,2025-04-23T18:35:17Z,presidenta municipal de Tampico
Y si,2025-04-23T18:35:17Z,Presidenta municipal de Tampico
"Qué bárbaros, ni siquiera dicen dónde, Tamaulipas es muy grande!",2025-04-23T19:30:21Z,gobierno de Tampico
Estás perra está rola no me fastidio de escucharlo 🎉💯🎼😈💪💯👿,2025-04-23T21:14:34Z,gobierno de Tampico
La número #1 &quot;déjate de P&#39; uterias huasteco&quot;,2025-04-23T23:26:08Z,presidenta municipal de Tampico
La número #1 &quot;déjate de P&#39; uterias huasteco&quot;,2025-04-23T23:26:08Z,Presidenta municipal de Tampico
También manden a investigar por enriquecimiento  ilícito a Jesús Nader que fue delegado regional del IMSS  en Tamaulipas en el 2008.,2025-04-24T00:18:51Z,gobierno de Tampico
Saludameeee,2025-04-24T01:47:19Z,Presidenta municipal de Tampico
💚🦠🛌🌳🌱🌿☘️🍃🌲🌷🌾🥀🪴🍀🌵🏞️🌄,2025-04-24T01:48:15Z,presidenta municipal de Tampico
💚🦠🛌🌳🌱🌿☘️🍃🌲🌷🌾🥀🪴🍀🌵🏞️🌄,2025-04-24T01:48:15Z,Presidenta municipal de Tampico
Saludame porfa,2025-04-24T01:48:26Z,Presidenta municipal de Tampico
El policía:y las donas bro?,2025-04-24T02:17:54Z,Presidenta municipal de Tampico
No sé q poner,2025-04-24T02:22:58Z,Presidenta municipal de Tampico
👍🍞,2025-04-24T02:39:11Z,Presidenta municipal de Tampico
En GTA San Andrés si podemos trabajar de policía taxista Conductor de Ambulancia FBI SWAT militar y bombero❤❤❤❤😮😊😊 Saludame porfa,2025-04-24T03:05:02Z,Presidenta municipal de Tampico
5,2025-04-24T03:40:17Z,gobierno de Tampico
Tus carros de policía el rojo,2025-04-24T03:59:24Z,Presidenta municipal de Tampico
Esta perroncisima la rola...,2025-04-24T04:59:47Z,gobierno de Tampico
"Y, ¿Qué pasa con el Online?",2025-04-24T05:32:26Z,Presidenta municipal de Tampico
"Y de pensar que era nuestro dinero!!😢 siempre robandonos, esos tipos del PRIAN..y aún así quieren seguir queriendo entrar al gobierno, con sus mentiras.... robarnos de nuevo. Ya depende de uno, de nosotros pueblo si dejamos, si les creemos a los del Prian.! Basta..fuera!!",2025-04-24T06:22:07Z,Gobierno de Tampico
"Y de pensar que era nuestro dinero!!😢 siempre robandonos, esos tipos del PRIAN..y aún así quieren seguir queriendo entrar al gobierno, con sus mentiras.... robarnos de nuevo. Ya depende de uno, de nosotros pueblo si dejamos, si les creemos a los del Prian.! Basta..fuera!!",2025-04-24T06:22:07Z,gobierno de Tampico
Descansa en paz,2025-04-24T07:28:41Z,Presidenta municipal de Tampico
Mejor juntas a Trevor y Michael con la ropa de policía robas un auto de policía y ya puedes fingir ser policía,2025-04-24T08:44:24Z,Presidenta municipal de Tampico
En las configuraciones esta la opción de modo editor creo y en el menú q se activa dejando apretado el boton de el mapa y en PC con la M y mirando un poco hay una opción de trucos como no tener estrellas,2025-04-24T11:35:15Z,Presidenta municipal de Tampico
Elias porqué  dejaste  minecraft   😢😢😢😢😔😔🥺😢😞😭,2025-04-24T13:26:30Z,Presidenta municipal de Tampico
"hay 2 mejores formas, el modo director y el lspdfr",2025-04-24T13:30:13Z,Presidenta municipal de Tampico
Ay anda en el centro de tampico vendiendo abujas,2025-04-24T15:07:35Z,gobierno de Tampico
"Pero no dicen donde se ubican, para poder ir a probarlas...",2025-04-24T16:58:26Z,Gobierno de Tampico
"Pero no dicen donde se ubican, para poder ir a probarlas...",2025-04-24T16:58:26Z,gobierno de Tampico
🌟Un lugar maravilloso para conocer más acerca de nuestra historia... El Museo de la Ciudad Tampico 🌟,2025-04-24T18:03:10Z,Gobierno de Tampico
🌟Un lugar maravilloso para conocer más acerca de nuestra historia... El Museo de la Ciudad Tampico 🌟,2025-04-24T18:03:10Z,gobierno de Tampico
Gracias Rancho Humilde CT,2025-04-24T18:45:18Z,gobierno de Tampico
"El estado es el líder de este grupo criminal: presidentas y presidentes, gobernadoras y gobernadores, están involucrados.",2025-04-24T20:04:53Z,gobierno de Tampico
Junior ya hacía falta una de esas 💀💎🍀,2025-04-24T20:11:15Z,gobierno de Tampico
El vídeo se tendría q llamar:hola voy hacerte perder el tiempo 😀,2025-04-24T20:53:28Z,Presidenta municipal de Tampico
Yo cuando era pequeño yo quería ser un poli en GTA 5 y el me dijo que si lavaba un coche en específico 30 veces me convertíria en un poli y yo con mi cerebro de cartón no se cómo me la crei😅,2025-04-24T21:18:10Z,Presidenta municipal de Tampico
❤🎉 Lara,2025-04-24T22:24:42Z,presidenta municipal de Tampico
❤🎉 Lara,2025-04-24T22:24:42Z,Presidenta municipal de Tampico
Gta san andreas: que pasa master 🤑👌,2025-04-24T22:26:10Z,Presidenta municipal de Tampico
Esto es real chat? Avisen para no prender la Xbox y no perder el tiempo,2025-04-24T22:29:56Z,Presidenta municipal de Tampico
Te amooo mas con banda juniorrrrr!!,2025-04-24T22:38:06Z,gobierno de Tampico
Me llamo elias,2025-04-25T01:54:36Z,Presidenta municipal de Tampico
Que viva chore donde se encuentre sea en USA o Mexico arriva my chore 🇲🇽💪,2025-04-25T02:23:26Z,gobierno de Tampico
Faltó : déjate de puterias Husteco,2025-04-25T02:32:46Z,presidenta municipal de Tampico
Faltó : déjate de puterias Husteco,2025-04-25T02:32:46Z,Presidenta municipal de Tampico
"No mamen , esta diciendo que AMLO lo dejo en 97 mil millones , y ahorita dice que en su sexenio está en 114 mill millones, ose que pedo? 15 mill millones más ? Apenas van unos meses de que tomaste la precidencia y ya estan endeudando más a pemex!!  Mi papá trabaja en los barcos y le recortaron su contrato por que pemex no les ha pagado a proveedores  por su culpa!",2025-04-25T03:20:33Z,Gobierno de Tampico
