comment_text,published_at,query
Ese es proyecto del gobierno federal no del estado. ¿Que chingados está haciendo Américo Villarreal? El recibe dinero para el estado para mejorar Tamaulipas y no se ve ni madres.,2025-09-02T07:21:21Z,Gobierno de Tampico
Ese es proyecto del gobierno federal no del estado. ¿Que chingados está haciendo Américo Villarreal? El recibe dinero para el estado para mejorar Tamaulipas y no se ve ni madres.,2025-09-02T07:21:21Z,gobierno de Tampico
"¿Y las calles, escuelas, hospitales, y seguridad para cuando?",2025-09-02T07:23:26Z,Gobierno de Tampico
Al parecer mato a un testigo de el robo que cometió,2025-09-02T07:34:31Z,presidenta municipal de Tampico
Al parecer mato a un testigo de el robo que cometió,2025-09-02T07:34:31Z,Presidenta municipal de Tampico
¿Y que hace el gobierno del estado? ¡¡!NADA!!!,2025-09-02T07:38:36Z,Gobierno de Tampico
¿Y que hace el gobierno del estado? ¡¡!NADA!!!,2025-09-02T07:38:36Z,gobierno de Tampico
Arriba  nuestra Presidenta,2025-09-02T08:00:09Z,presidenta municipal de Tampico
Arriba  nuestra Presidenta,2025-09-02T08:00:09Z,Presidenta municipal de Tampico
Qual empresa construiu esse supermercado?,2025-09-02T09:49:42Z,presidenta municipal de Tampico
Qual empresa construiu esse supermercado?,2025-09-02T09:49:42Z,Presidenta municipal de Tampico
Gran trabajo de la presidenta Claudia en su primer año de gobierno,2025-09-02T10:04:01Z,presidenta municipal de Tampico
Gran trabajo de la presidenta Claudia en su primer año de gobierno,2025-09-02T10:04:01Z,Presidenta municipal de Tampico
Ora,2025-09-02T12:08:00Z,gobierno de Tampico
"PRIANATO,aprende,cuando no roban alcanza para esto y mas",2025-09-02T12:49:16Z,presidenta municipal de Tampico
"PRIANATO,aprende,cuando no roban alcanza para esto y mas",2025-09-02T12:49:16Z,Presidenta municipal de Tampico
Viva mi presidenta,2025-09-02T13:05:45Z,presidenta municipal de Tampico
Viva mi presidenta,2025-09-02T13:05:45Z,Presidenta municipal de Tampico
Extirsion tráfico de influencias en BC ENSENADA México Juan Diego residencial la gobernadora y sus AHIJADOS,2025-09-02T14:11:49Z,presidenta municipal de Tampico
Extirsion tráfico de influencias en BC ENSENADA México Juan Diego residencial la gobernadora y sus AHIJADOS,2025-09-02T14:11:49Z,Presidenta municipal de Tampico
CUÁNDO NO HAY CORRUPCIÓN ALCANZA PARA MÁS?????🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣 REDUCCIÓN EN LOS HOMICIDIOS????🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣<br>Y CÓMO POR QUÉ CAMBIARON EL DÍA DE LAS PAYASADAS DE GOBIERNO?? SI SIEMPRE HAN SIDO EL1 DE OCTUBRE.,2025-09-02T14:43:07Z,presidenta municipal de Tampico
CUÁNDO NO HAY CORRUPCIÓN ALCANZA PARA MÁS?????🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣 REDUCCIÓN EN LOS HOMICIDIOS????🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣<br>Y CÓMO POR QUÉ CAMBIARON EL DÍA DE LAS PAYASADAS DE GOBIERNO?? SI SIEMPRE HAN SIDO EL1 DE OCTUBRE.,2025-09-02T14:43:07Z,Presidenta municipal de Tampico
Gracias a los priístas ninhay mal que dure 100 años ojalá la vida les cobre todo lo que le an hecho a México 😢,2025-09-02T15:20:53Z,Gobierno de Tampico
"Dónde andas Mensaje de Amor para Salvación donde estás Alabanza hasta cuando yo me acuerdo hermano quien te apoya conmigo está en la salud y seguridad no me acuerdo de los demás que están en guerra quien pierde la vida mente ilumina quien fue digno de que Dios los proteja siempre y recuerdo que gozo siempre en mi casa en mi corazón ❤️ y agradecido quien recibe su trabajo Presidente para Salvación en la iglesia de Cristo esperanza Amor resibe su regalo que Dios le dió al pobre hijo único y Poderoso podría ayudar con mejor momento que no termina. <a href=""https://www.youtube.com/watch?v=Ex9JDtKlenc&amp;t=2079"">34:39</a>",2025-09-02T15:26:40Z,presidenta municipal de Tampico
"Dónde andas Mensaje de Amor para Salvación donde estás Alabanza hasta cuando yo me acuerdo hermano quien te apoya conmigo está en la salud y seguridad no me acuerdo de los demás que están en guerra quien pierde la vida mente ilumina quien fue digno de que Dios los proteja siempre y recuerdo que gozo siempre en mi casa en mi corazón ❤️ y agradecido quien recibe su trabajo Presidente para Salvación en la iglesia de Cristo esperanza Amor resibe su regalo que Dios le dió al pobre hijo único y Poderoso podría ayudar con mejor momento que no termina. <a href=""https://www.youtube.com/watch?v=Ex9JDtKlenc&amp;t=2079"">34:39</a>",2025-09-02T15:26:40Z,Presidenta municipal de Tampico
Yo hoy agradesco primera mente a Dios todopoderoso y al univerzo por darnos  ala mejor Precidenta gracias univerzo gracias Dios por Bendecir a Mexico a la mejor Presidenta,2025-09-02T15:34:19Z,presidenta municipal de Tampico
Yo hoy agradesco primera mente a Dios todopoderoso y al univerzo por darnos  ala mejor Precidenta gracias univerzo gracias Dios por Bendecir a Mexico a la mejor Presidenta,2025-09-02T15:34:19Z,Presidenta municipal de Tampico
Ningún lugar se acuerda de lo mejor que Dios Todopoderoso pero entiendo el mundo no se puede conectar pero ninguno se quedará que no lo vió y que no lo sepa y no lo conozco desde donde vive.,2025-09-02T15:34:24Z,presidenta municipal de Tampico
Ningún lugar se acuerda de lo mejor que Dios Todopoderoso pero entiendo el mundo no se puede conectar pero ninguno se quedará que no lo vió y que no lo sepa y no lo conozco desde donde vive.,2025-09-02T15:34:24Z,Presidenta municipal de Tampico
Está es la guerra chingaos,2025-09-02T16:23:38Z,presidenta municipal de Tampico
Está es la guerra chingaos,2025-09-02T16:23:38Z,Presidenta municipal de Tampico
Larga vida a la señora presidenta,2025-09-02T16:41:10Z,presidenta municipal de Tampico
Larga vida a la señora presidenta,2025-09-02T16:41:10Z,Presidenta municipal de Tampico
Grandes  e infinitas  bendiciones presidenta  y México,2025-09-02T17:04:34Z,presidenta municipal de Tampico
Grandes  e infinitas  bendiciones presidenta  y México,2025-09-02T17:04:34Z,Presidenta municipal de Tampico
Que onda con la de blanco? Ni que fuera fiesta de disfraces o un tugurio.,2025-09-02T17:38:50Z,presidenta municipal de Tampico
Que onda con la de blanco? Ni que fuera fiesta de disfraces o un tugurio.,2025-09-02T17:38:50Z,Presidenta municipal de Tampico
Felicidades mi México nuevo ❤️🇲🇽🪖⚓⚖️💯👍,2025-09-02T17:43:21Z,presidenta municipal de Tampico
Felicidades mi México nuevo ❤️🇲🇽🪖⚓⚖️💯👍,2025-09-02T17:43:21Z,Presidenta municipal de Tampico
Dios lo bendiga siempre la presidenta,2025-09-02T17:52:55Z,presidenta municipal de Tampico
Dios lo bendiga siempre la presidenta,2025-09-02T17:52:55Z,Presidenta municipal de Tampico
"Nuestra excelente Presidenta debe recordar que Jesús el gran Maestro a pesar de su bondad, humildad y grandeza fue traicionado, martirizado y sacrificado !Nadie lo defendió! Lo mismo puede pasar en México aunque su estado en finanzas y economía sea inmejorable ... !También tiene un traidor! Tal vez no lo conozca ¡Le llaman malito! O algo así. El ya comenzó con su traición a México, continuará esperando lograr primero el martirio y finalmente el sacrificio de México ¿Será que México sufrirá lo mismo? ¿No habrá quien lo defienda? ¡Revisen la historia! Tal vez encuentren en el pasado a traidores del pasado; lo que hicieron, lo que lograron y como fue que nadie los paró ¿Esperan que suceda lo mismo? ¿Dejarán que ese traidor y su pandilla aumenten su campaña traicionera, destructora, calumniadora, irracional y con daños a terceros? Quien es el responsable del daño, no a Noroña, sino a su investidura ¿Lalito? ¿O los de la 4T que legalmente pueden tomar las medidas que amerita el hecho realizado con todas las agravantes que marca la ley? ¿A quien ajustará la historia? A quien ajustará la población a la hora de votar? Cómo que ya es tiempo de despertar. La ley fue establecida para evitar que la rompan ¿Entonces?",2025-09-02T18:15:08Z,presidenta municipal de Tampico
"Nuestra excelente Presidenta debe recordar que Jesús el gran Maestro a pesar de su bondad, humildad y grandeza fue traicionado, martirizado y sacrificado !Nadie lo defendió! Lo mismo puede pasar en México aunque su estado en finanzas y economía sea inmejorable ... !También tiene un traidor! Tal vez no lo conozca ¡Le llaman malito! O algo así. El ya comenzó con su traición a México, continuará esperando lograr primero el martirio y finalmente el sacrificio de México ¿Será que México sufrirá lo mismo? ¿No habrá quien lo defienda? ¡Revisen la historia! Tal vez encuentren en el pasado a traidores del pasado; lo que hicieron, lo que lograron y como fue que nadie los paró ¿Esperan que suceda lo mismo? ¿Dejarán que ese traidor y su pandilla aumenten su campaña traicionera, destructora, calumniadora, irracional y con daños a terceros? Quien es el responsable del daño, no a Noroña, sino a su investidura ¿Lalito? ¿O los de la 4T que legalmente pueden tomar las medidas que amerita el hecho realizado con todas las agravantes que marca la ley? ¿A quien ajustará la historia? A quien ajustará la población a la hora de votar? Cómo que ya es tiempo de despertar. La ley fue establecida para evitar que la rompan ¿Entonces?",2025-09-02T18:15:08Z,Presidenta municipal de Tampico
Lo felicito Sr. Presidente Nayik Bukele. Dios le de vida eterna..y que su país siga creciendo. ..,2025-09-02T18:34:54Z,presidenta municipal de Tampico
Lo felicito Sr. Presidente Nayik Bukele. Dios le de vida eterna..y que su país siga creciendo. ..,2025-09-02T18:34:54Z,Presidenta municipal de Tampico
"Pero que orgullo ! PresidentA, con A mayúscula!",2025-09-02T18:43:02Z,presidenta municipal de Tampico
"Pero que orgullo ! PresidentA, con A mayúscula!",2025-09-02T18:43:02Z,Presidenta municipal de Tampico
Presidenta debería de ver más enfoque en el campo pareciese que se senasica no se está dando abasto,2025-09-02T18:50:59Z,presidenta municipal de Tampico
Presidenta debería de ver más enfoque en el campo pareciese que se senasica no se está dando abasto,2025-09-02T18:50:59Z,Presidenta municipal de Tampico
"Las mentiras de <a href=""https://www.youtube.com/watch?v=Ex9JDtKlenc&amp;t=109"">1:49</a> <a href=""https://www.youtube.com/watch?v=Ex9JDtKlenc&amp;t=109"">1:49</a> Claudia",2025-09-02T19:44:32Z,presidenta municipal de Tampico
"Las mentiras de <a href=""https://www.youtube.com/watch?v=Ex9JDtKlenc&amp;t=109"">1:49</a> <a href=""https://www.youtube.com/watch?v=Ex9JDtKlenc&amp;t=109"">1:49</a> Claudia",2025-09-02T19:44:32Z,Presidenta municipal de Tampico
"¡¡Que interesante y que linda la Actitud de nuestra Pdta. Dra. Claudia Sheinbaum Pardo. Siento mucho orgullo por Ella que es una mujer muy Valiente, Fuerte. Honesta, Congruentey no me cabe duda de que seguira avanzando en su Mandato dandonos satisfacciones que a Ella le haran vivir en paz porque esta haciendo valer su PALABRA, llena el espacio de su Compromiso con la paz que le da estar cumpliendo con el Pueblo, GRACIAS MI APRECIABLE  Pdta. CLAUDIA SHEINBAUM PARDO Y Felividades!! ❤ 🎉 ❤ 🎉 ❤ 🎉 ❤",2025-09-02T20:03:05Z,presidenta municipal de Tampico
