query_index,query,medio,termino,article_title,article_url_resolved,source_domain,status_descarga,extraction_method,article_text_length,cache_hit_article,playwright_used,fallback_used,attempted_methods,error_type,error_detail
1,"""Monica Villarreal"" site:oem.com.mx",site:oem.com.mx,"""Monica Villarreal""",Tampico reemplaza carretas con caballos; entregan motocicletas de carga a recicladores - El Sol de México,https://oem.com.mx/elsoldetampico/local/tampico-reemplaza-carretas-con-caballos-entregan-motocicletas-de-carga-a-recicladores-28935940,oem.com.mx,downloaded_ok,trafilatura,880,False,False,False,trafilatura,,
1,"""Monica Villarreal"" site:oem.com.mx",site:oem.com.mx,"""Monica Villarreal""",“Las Despicadoras del Oro Rojo”: obra en Tampico rinde homenaje a mujeres del sector pesquero - El Sol de México,https://oem.com.mx/elsoldetampico/local/las-despicadoras-del-oro-rojo-obra-en-tampico-rinde-homenaje-a-mujeres-del-sector-pesquero-28654332,oem.com.mx,downloaded_ok,trafilatura,734,False,False,False,trafilatura,,
3,"""tampico"" site:oem.com.mx",site:oem.com.mx,"""tampico""",“Me voy enamorado de Tampico”: Óscar Flores se despide tras dirigir el Tec de Monterrey - El Sol de México,https://oem.com.mx/elsoldetampico/gossip/me-voy-enamorado-de-tampico-oscar-flores-se-despide-tras-dirigir-el-tec-de-monterrey-28965166,oem.com.mx,downloaded_ok,trafilatura,1971,False,False,False,trafilatura,,
3,"""tampico"" site:oem.com.mx",site:oem.com.mx,"""tampico""",¿Organizas torneos en canchas públicas de Tampico? Ahora deberás comprobar que colaboras con el mantenimiento - El Sol de México,https://oem.com.mx/elsoldetampico/deportes/organizas-torneos-en-canchas-publicas-de-tampico-ahora-deberas-comprobar-que-colaboras-con-el-mantenimiento-28943545,oem.com.mx,downloaded_ok,trafilatura,1585,False,False,False,trafilatura,,
3,"""tampico"" site:oem.com.mx",site:oem.com.mx,"""tampico""",Clima en Tampico: sábado soleado antes del norte fuerte por frente frío 40 - El Sol de México,https://oem.com.mx/elsoldetampico/local/clima-en-tampico-sabado-soleado-antes-del-norte-fuerte-por-frente-frio-40-28955343,oem.com.mx,downloaded_ok,trafilatura,1852,False,False,False,trafilatura,,
3,"""tampico"" site:oem.com.mx",site:oem.com.mx,"""tampico""",Inversionistas de Tiendas 3B presentan plan de expansión a gobierno de Altamira; Podrían llegar a Tampico y Madero - El Sol de México,https://oem.com.mx/elsoldetampico/finanzas/inversionistas-de-tiendas-3b-presentan-plan-de-expansion-a-gobierno-de-altamira-podrian-llegar-a-tampico-y-madero-28937027,oem.com.mx,downloaded_ok,trafilatura,1239,False,False,False,trafilatura,,
3,"""tampico"" site:oem.com.mx",site:oem.com.mx,"""tampico""",Mineros vs Jaiba Brava: hoy el campeón de la Liga de Expansión se juega la vida en Zacatecas - El Sol de México,https://oem.com.mx/elsoldetampico/deportes/mineros-vs-jaiba-brava-hoy-el-campeon-de-la-liga-de-expansion-se-juega-la-vida-en-zacatecas-28930123,oem.com.mx,downloaded_ok,trafilatura,2173,False,False,False,trafilatura,,
3,"""tampico"" site:oem.com.mx",site:oem.com.mx,"""tampico""","Humo, carne y sabor: así se vivió el torneo Puerto Parrilla Logística 2026 en Altamira - El Sol de México",https://oem.com.mx/elsoldetampico/local/humo-carne-y-sabor-asi-se-vivio-el-torneo-puerto-parrilla-logistica-2026-en-altamira-28968861,oem.com.mx,downloaded_ok,trafilatura,496,False,False,False,trafilatura,,
3,"""tampico"" site:oem.com.mx",site:oem.com.mx,"""tampico""",Por mala administración cierran nueve bases operativas de Cruz Roja en Tamaulipas: no existe fecha oficial de reapertura - El Sol de México,https://oem.com.mx/elsoldetampico/local/por-mala-administracion-cierran-nueve-bases-operativas-de-cruz-roja-en-tamaulipas-no-existe-fecha-oficial-de-reapertura-28991558,oem.com.mx,downloaded_ok,trafilatura,1919,False,False,False,trafilatura,,
3,"""tampico"" site:oem.com.mx",site:oem.com.mx,"""tampico""",¡Ahí viene el norte! Prevén cielo nublado y oleaje alto para el lunes 16 en el sur de Tamaulipas - El Sol de México,https://oem.com.mx/elsoldetampico/local/ahi-viene-el-norte-preven-cielo-nublado-y-oleaje-alto-para-el-lunes-16-en-el-sur-de-tamaulipas-28991490,oem.com.mx,downloaded_ok,trafilatura,1634,False,False,False,trafilatura,,
