2026-04-05 09:50:22 | INFO | radar.twitter_extractor | Inicio de corrida | run_id=twitter_w12_backfill week_name=2026-03-16_semana_16marzo_22marzo_26 output_root=/home/emilio/Documentos/RAdAR/Datos_RAdAR/Twitter week_name_mode=canonical_monday_sunday
2026-04-05 09:50:22 | INFO | radar.twitter_extractor | Parámetros efectivos | since=2026-03-16 until=2026-03-22 total_queries=6 max_scrolls=6 max_tweets_per_query=100 include_replies=False headless=True
2026-04-05 09:50:22 | INFO | radar.twitter_extractor | Archivo de sesión | session_state_file=/home/emilio/Documentos/RAdAR/Scripts/state/x_state.json
2026-04-05 09:50:23 | INFO | radar.twitter_extractor | Playwright inicializado | headless=True session_state_file=/home/emilio/Documentos/RAdAR/Scripts/state/x_state.json
2026-04-05 09:50:26 | INFO | radar.twitter_extractor | Sesión persistida validada correctamente contra X/Twitter.
2026-04-05 09:50:26 | INFO | radar.twitter_extractor | Procesando query 1/6 | query=to:MonicaVTampico
2026-04-05 09:50:30 | INFO | radar.twitter_extractor | Búsqueda abierta | query=to:MonicaVTampico since:2026-03-16 until:2026-03-22
2026-04-05 09:50:36 | INFO | radar.twitter_extractor | Query procesada | query_index=1 query=to:MonicaVTampico tweets_guardados=1 replies_guardados=0 errores=0 scrolls=6
2026-04-05 09:50:36 | INFO | radar.twitter_extractor | Procesando query 2/6 | query=from:MonicaVTampico
2026-04-05 09:50:40 | INFO | radar.twitter_extractor | Búsqueda abierta | query=from:MonicaVTampico since:2026-03-16 until:2026-03-22
2026-04-05 09:50:46 | INFO | radar.twitter_extractor | Query procesada | query_index=2 query=from:MonicaVTampico tweets_guardados=0 replies_guardados=0 errores=0 scrolls=6
2026-04-05 09:50:46 | INFO | radar.twitter_extractor | Procesando query 3/6 | query=to:TampicoGob
2026-04-05 09:50:49 | INFO | radar.twitter_extractor | Búsqueda abierta | query=to:TampicoGob since:2026-03-16 until:2026-03-22
2026-04-05 09:50:55 | INFO | radar.twitter_extractor | Query procesada | query_index=3 query=to:TampicoGob tweets_guardados=0 replies_guardados=0 errores=0 scrolls=6
2026-04-05 09:50:55 | INFO | radar.twitter_extractor | Procesando query 4/6 | query=from:TampicoGob
2026-04-05 09:50:59 | INFO | radar.twitter_extractor | Búsqueda abierta | query=from:TampicoGob since:2026-03-16 until:2026-03-22
2026-04-05 09:51:05 | INFO | radar.twitter_extractor | Query procesada | query_index=4 query=from:TampicoGob tweets_guardados=0 replies_guardados=0 errores=0 scrolls=6
2026-04-05 09:51:05 | INFO | radar.twitter_extractor | Procesando query 5/6 | query=@TampicoGob
2026-04-05 09:51:08 | INFO | radar.twitter_extractor | Búsqueda abierta | query=@TampicoGob since:2026-03-16 until:2026-03-22
2026-04-05 09:51:16 | INFO | radar.twitter_extractor | Query procesada | query_index=5 query=@TampicoGob tweets_guardados=5 replies_guardados=0 errores=0 scrolls=6
2026-04-05 09:51:16 | INFO | radar.twitter_extractor | Procesando query 6/6 | query=@MonicaVTampico
2026-04-05 09:51:19 | INFO | radar.twitter_extractor | Búsqueda abierta | query=@MonicaVTampico since:2026-03-16 until:2026-03-22
2026-04-05 09:51:28 | INFO | radar.twitter_extractor | Query procesada | query_index=6 query=@MonicaVTampico tweets_guardados=16 replies_guardados=0 errores=0 scrolls=6
2026-04-05 09:51:28 | INFO | radar.twitter_extractor | Artefactos canónicos publicados | total=7
2026-04-05 09:51:28 | INFO | radar.twitter_extractor | Cierre de corrida | status=success tweets_detected=84 tweets_saved=22 replies_saved=0 run_dir=/home/emilio/Documentos/RAdAR/Datos_RAdAR/Twitter/2026-03-16_semana_16marzo_22marzo_26/runs/twitter_w12_backfill_20260405_095022
