query_index,query,video_rank,video_id,video_title,channel_title,video_published_at,video_url,comments_extracted,status,error_message
1,presidenta municipal de Tampico,1,-9ZgUPwsMzk,🔎 Misterio en Palacio Nacional: mujer captada tomando el sol ya tendría identidad,SDPNoticias,2026-03-31T20:01:19Z,https://www.youtube.com/watch?v=-9ZgUPwsMzk,100,success,
1,presidenta municipal de Tampico,2,I7tOsUe-q30,🏭 carrera conmemorativa por el 203 aniversario de la repoblación de Tampico. 🏃‍♀️🏃‍♂️,CallesEnTodo,2026-04-05T19:54:52Z,https://www.youtube.com/watch?v=I7tOsUe-q30,0,success,
1,presidenta municipal de Tampico,3,aT3mly9SCkw,¡Muere ahogado y lo dejan tirado! Reportan fallecimiento de dos jóvenes en balnearios de Oaxaca,El Heraldo de México,2026-04-04T02:21:11Z,https://www.youtube.com/watch?v=aT3mly9SCkw,96,success,
1,presidenta municipal de Tampico,4,rnFU9ByHl8o,Coordinación y limpieza para nuestras playas,Rocío Nahle,2026-03-30T17:53:17Z,https://www.youtube.com/watch?v=rnFU9ByHl8o,19,success,
1,presidenta municipal de Tampico,5,ShQUv3cbixY,Playa Miramar lleno total con el Grupo Pesado en Semana Santa 2026 @grupopesadooficial506,En Concreto Noticias,2026-04-04T15:34:40Z,https://www.youtube.com/watch?v=ShQUv3cbixY,0,success,
1,presidenta municipal de Tampico,6,ILqMSZHWnsE,Maravilloso Sábado Santo en Playa de Miramar en Ciudad Madero (Tamaulipas),segundaopinion. vm,2026-04-05T00:14:20Z,https://www.youtube.com/watch?v=ILqMSZHWnsE,1,success,
2,Presidenta municipal de Tampico,1,-9ZgUPwsMzk,🔎 Misterio en Palacio Nacional: mujer captada tomando el sol ya tendría identidad,SDPNoticias,2026-03-31T20:01:19Z,https://www.youtube.com/watch?v=-9ZgUPwsMzk,100,success,
2,Presidenta municipal de Tampico,2,I7tOsUe-q30,🏭 carrera conmemorativa por el 203 aniversario de la repoblación de Tampico. 🏃‍♀️🏃‍♂️,CallesEnTodo,2026-04-05T19:54:52Z,https://www.youtube.com/watch?v=I7tOsUe-q30,0,success,
2,Presidenta municipal de Tampico,3,aT3mly9SCkw,¡Muere ahogado y lo dejan tirado! Reportan fallecimiento de dos jóvenes en balnearios de Oaxaca,El Heraldo de México,2026-04-04T02:21:11Z,https://www.youtube.com/watch?v=aT3mly9SCkw,96,success,
2,Presidenta municipal de Tampico,4,rnFU9ByHl8o,Coordinación y limpieza para nuestras playas,Rocío Nahle,2026-03-30T17:53:17Z,https://www.youtube.com/watch?v=rnFU9ByHl8o,19,success,
2,Presidenta municipal de Tampico,5,ShQUv3cbixY,Playa Miramar lleno total con el Grupo Pesado en Semana Santa 2026 @grupopesadooficial506,En Concreto Noticias,2026-04-04T15:34:40Z,https://www.youtube.com/watch?v=ShQUv3cbixY,0,success,
2,Presidenta municipal de Tampico,6,ILqMSZHWnsE,Maravilloso Sábado Santo en Playa de Miramar en Ciudad Madero (Tamaulipas),segundaopinion. vm,2026-04-05T00:14:20Z,https://www.youtube.com/watch?v=ILqMSZHWnsE,1,success,
3,Gobierno de Tampico,1,RXvjPXQMJuY,💧 Ingeniería UAT en acción | Cuidando el agua en Tampico 🌎,Facultad de Ingeniería UAT Tampico,2026-04-01T19:53:02Z,https://www.youtube.com/watch?v=RXvjPXQMJuY,0,success,
3,Gobierno de Tampico,2,clBKo_ZwbYQ,¡De Tampico para Harvard! Melissa cumplió el sueño y así fue su reacción; un orgullo para Tamaulipas,El Sol de Tampico,2026-04-02T16:37:35Z,https://www.youtube.com/watch?v=clBKo_ZwbYQ,5,success,
3,Gobierno de Tampico,3,rnFU9ByHl8o,Coordinación y limpieza para nuestras playas,Rocío Nahle,2026-03-30T17:53:17Z,https://www.youtube.com/watch?v=rnFU9ByHl8o,19,success,
3,Gobierno de Tampico,4,-9ZgUPwsMzk,🔎 Misterio en Palacio Nacional: mujer captada tomando el sol ya tendría identidad,SDPNoticias,2026-03-31T20:01:19Z,https://www.youtube.com/watch?v=-9ZgUPwsMzk,100,success,
3,Gobierno de Tampico,5,659dzXzkkKo,Los años de antes en el centro de Tampico!.🤍,Carlos Alarcón,2026-04-01T05:53:15Z,https://www.youtube.com/watch?v=659dzXzkkKo,3,success,
3,Gobierno de Tampico,6,AZzEsmK0OeQ,Rafael Marín deja Aduanas tras escándalo de huachicol fiscal; ahora va a Gobernación,Azteca Noticias,2026-04-02T15:29:28Z,https://www.youtube.com/watch?v=AZzEsmK0OeQ,19,success,
3,Gobierno de Tampico,7,NvTqw-ozsTg,Programa Sin Reservas 04 Abril,CityChannelTam,2026-04-05T12:04:22Z,https://www.youtube.com/watch?v=NvTqw-ozsTg,0,success,
3,Gobierno de Tampico,8,YLL7PvctjJI,"De feria en la ""Laguna del Carpintero"" en Tampico!.🎊🎉🎇",Carlos Alarcón,2026-04-02T07:18:49Z,https://www.youtube.com/watch?v=YLL7PvctjJI,1,success,
3,Gobierno de Tampico,9,8hms5O03PNA,Con un “pie fuera” del PAN.,ORT Radio,2026-04-03T18:50:10Z,https://www.youtube.com/watch?v=8hms5O03PNA,1,success,
3,Gobierno de Tampico,10,KEx5mO9qIQ0,¡ALERTA! Paro nacional de transportistas 6 de abril: Lista de carreteras afectadas y horarios,Publimetro México,2026-04-03T18:21:24Z,https://www.youtube.com/watch?v=KEx5mO9qIQ0,26,success,
3,Gobierno de Tampico,11,_cmVxoQ0Oyg,Ignoran banderas rojas y entran al mar con niños en Tamaulipas,MILENIO,2026-04-01T00:21:13Z,https://www.youtube.com/watch?v=_cmVxoQ0Oyg,2,success,
3,Gobierno de Tampico,12,KC61zK7hHto,Clima de hoy lunes 30 de marzo de 2026 | Pronóstico con Nelson Valdez,MILENIO,2026-03-30T12:49:37Z,https://www.youtube.com/watch?v=KC61zK7hHto,3,success,
3,Gobierno de Tampico,13,ljwzQdobniQ,🚨 Hallan sin vida a reconocido médico en Veracruz,SDPNoticias,2026-04-02T17:09:15Z,https://www.youtube.com/watch?v=ljwzQdobniQ,8,success,
3,Gobierno de Tampico,14,_CS3jcGr_ok,Clima en México hoy 2 de abril de 2026: Mar de fondo en el Pacífico - Las Noticias,NMás,2026-04-02T13:16:19Z,https://www.youtube.com/watch?v=_CS3jcGr_ok,17,success,
3,Gobierno de Tampico,15,xX4KbtciMd8,Veracruz en crisis: violencia y derrame de petróleo golpean al estado,Azteca Noticias,2026-04-03T05:15:56Z,https://www.youtube.com/watch?v=xX4KbtciMd8,23,success,
3,Gobierno de Tampico,16,YU7lFw7u8oY,"Conoce al GIGANTE DE ACERO, el estadio mundialista de Nuevo León, México.",GobiernoNuevoLeon,2026-03-30T18:35:08Z,https://www.youtube.com/watch?v=YU7lFw7u8oY,1,success,
3,Gobierno de Tampico,17,ShQUv3cbixY,Playa Miramar lleno total con el Grupo Pesado en Semana Santa 2026 @grupopesadooficial506,En Concreto Noticias,2026-04-04T15:34:40Z,https://www.youtube.com/watch?v=ShQUv3cbixY,0,success,
3,Gobierno de Tampico,18,U56RNSjUbRk,Sheinbaum confirma sanción para mujer que tomó el sol en Palacio Nacional,NMás,2026-03-30T21:08:02Z,https://www.youtube.com/watch?v=U56RNSjUbRk,100,success,
3,Gobierno de Tampico,19,42C6T77mjFg,Desde la playa Miramar en Ciudad Madero Tamaulipas 2-Abr-26 ,Noticias de Matamoros Tamaulipas ,2026-04-03T00:35:06Z,https://www.youtube.com/watch?v=42C6T77mjFg,0,success,
3,Gobierno de Tampico,20,QQQZOH_wM3Y,Mas de 2 5 millones de tamaulipecos carecen de servicios médicos; avanza cobertura de IMSS-Bienestar,AgenciaRNnoticias,2026-04-02T23:32:04Z,https://www.youtube.com/watch?v=QQQZOH_wM3Y,0,success,
3,Gobierno de Tampico,21,wn54Ckm33AM,Línea Independiente | lunes 30 de marzo del 2026 | #NuevoLaredo #Laredo #NLD #Tamaulipas,Luis Valtierra Noticias ,2026-03-31T13:37:42Z,https://www.youtube.com/watch?v=wn54Ckm33AM,0,success,
3,Gobierno de Tampico,22,cpqreppNMt0,"Ronald Reagan: Childhood, Family, Presidency & Why His Legacy Still Matters#RonaldReagan #AmericanHi",The Storyteller’s Compass,2026-03-30T00:52:19Z,https://www.youtube.com/watch?v=cpqreppNMt0,0,success,
3,Gobierno de Tampico,23,by7qvcpDB8A,¡TRAICIÓN EN LA MARINA! Harfuch caza a comandantes corruptos: millones robados y red desde el poder.,Alerta Roja,2026-04-05T20:24:29Z,https://www.youtube.com/watch?v=by7qvcpDB8A,0,success,
3,Gobierno de Tampico,24,TwEAsnrc5bw,La Traición de los Almirantes: El Robo de 24 Millones Diarios en México (CJNG),Expediente Frontera,2026-03-31T15:30:00Z,https://www.youtube.com/watch?v=TwEAsnrc5bw,0,success,
3,Gobierno de Tampico,25,GRAuv38LnZw,¡CAYÓ! La Marina Expulsa a Comandantes Corruptos Sorprendidos In Fraganti,Club Sheinbaum 🇲🇽,2026-04-02T17:50:00Z,https://www.youtube.com/watch?v=GRAuv38LnZw,100,success,
4,gobierno de Tampico,1,RXvjPXQMJuY,💧 Ingeniería UAT en acción | Cuidando el agua en Tampico 🌎,Facultad de Ingeniería UAT Tampico,2026-04-01T19:53:02Z,https://www.youtube.com/watch?v=RXvjPXQMJuY,0,success,
4,gobierno de Tampico,2,rnFU9ByHl8o,Coordinación y limpieza para nuestras playas,Rocío Nahle,2026-03-30T17:53:17Z,https://www.youtube.com/watch?v=rnFU9ByHl8o,19,success,
4,gobierno de Tampico,3,-9ZgUPwsMzk,🔎 Misterio en Palacio Nacional: mujer captada tomando el sol ya tendría identidad,SDPNoticias,2026-03-31T20:01:19Z,https://www.youtube.com/watch?v=-9ZgUPwsMzk,100,success,
4,gobierno de Tampico,4,659dzXzkkKo,Los años de antes en el centro de Tampico!.🤍,Carlos Alarcón,2026-04-01T05:53:15Z,https://www.youtube.com/watch?v=659dzXzkkKo,3,success,
4,gobierno de Tampico,5,AZzEsmK0OeQ,Rafael Marín deja Aduanas tras escándalo de huachicol fiscal; ahora va a Gobernación,Azteca Noticias,2026-04-02T15:29:28Z,https://www.youtube.com/watch?v=AZzEsmK0OeQ,19,success,
4,gobierno de Tampico,6,NvTqw-ozsTg,Programa Sin Reservas 04 Abril,CityChannelTam,2026-04-05T12:04:22Z,https://www.youtube.com/watch?v=NvTqw-ozsTg,0,success,
4,gobierno de Tampico,7,YLL7PvctjJI,"De feria en la ""Laguna del Carpintero"" en Tampico!.🎊🎉🎇",Carlos Alarcón,2026-04-02T07:18:49Z,https://www.youtube.com/watch?v=YLL7PvctjJI,1,success,
4,gobierno de Tampico,8,KEx5mO9qIQ0,¡ALERTA! Paro nacional de transportistas 6 de abril: Lista de carreteras afectadas y horarios,Publimetro México,2026-04-03T18:21:24Z,https://www.youtube.com/watch?v=KEx5mO9qIQ0,26,success,
4,gobierno de Tampico,9,8hms5O03PNA,Con un “pie fuera” del PAN.,ORT Radio,2026-04-03T18:50:10Z,https://www.youtube.com/watch?v=8hms5O03PNA,1,success,
4,gobierno de Tampico,10,_cmVxoQ0Oyg,Ignoran banderas rojas y entran al mar con niños en Tamaulipas,MILENIO,2026-04-01T00:21:13Z,https://www.youtube.com/watch?v=_cmVxoQ0Oyg,2,success,
4,gobierno de Tampico,11,KC61zK7hHto,Clima de hoy lunes 30 de marzo de 2026 | Pronóstico con Nelson Valdez,MILENIO,2026-03-30T12:49:37Z,https://www.youtube.com/watch?v=KC61zK7hHto,3,success,
4,gobierno de Tampico,12,ljwzQdobniQ,🚨 Hallan sin vida a reconocido médico en Veracruz,SDPNoticias,2026-04-02T17:09:15Z,https://www.youtube.com/watch?v=ljwzQdobniQ,8,success,
4,gobierno de Tampico,13,_CS3jcGr_ok,Clima en México hoy 2 de abril de 2026: Mar de fondo en el Pacífico - Las Noticias,NMás,2026-04-02T13:16:19Z,https://www.youtube.com/watch?v=_CS3jcGr_ok,17,success,
4,gobierno de Tampico,14,xX4KbtciMd8,Veracruz en crisis: violencia y derrame de petróleo golpean al estado,Azteca Noticias,2026-04-03T05:15:56Z,https://www.youtube.com/watch?v=xX4KbtciMd8,23,success,
4,gobierno de Tampico,15,YU7lFw7u8oY,"Conoce al GIGANTE DE ACERO, el estadio mundialista de Nuevo León, México.",GobiernoNuevoLeon,2026-03-30T18:35:08Z,https://www.youtube.com/watch?v=YU7lFw7u8oY,1,success,
4,gobierno de Tampico,16,ShQUv3cbixY,Playa Miramar lleno total con el Grupo Pesado en Semana Santa 2026 @grupopesadooficial506,En Concreto Noticias,2026-04-04T15:34:40Z,https://www.youtube.com/watch?v=ShQUv3cbixY,0,success,
