fecha_inicio_semana,fecha,horizonte,outer_fold_index,y_current,y_true,modelo_ganador_real,modelo_ganador_real_operativo,modelo_predicho_raw,modelo_predicho,modelo_selector_fijo_raw,modelo_selector_fijo,prediccion_modelo_elegido,prediccion_modelo_ganador_real,prediccion_selector_fijo,error_final,indicador_acierto_selector,indicador_acierto_selector_fijo,prob_modelo_predicho,probabilidades_clases_json,selection_mode,selection_reason,fixed_selection_reason,rows_train,n_clases_train,clases_train,n_modelos_disponibles_test,modelos_disponibles_test,prediccion_E1_v5_clean,prediccion_E2_v3_clean,prediccion_E3_v2_clean,prediccion_E5_v4_clean,prediccion_E7_v3_clean,prediccion_E9_v2_clean
2025-11-10,2025-11-10,3,1,0.0692562741764684,0.279605962079427,E7_v3_clean,E7_v3_clean,E1_v5_clean,E1_v5_clean,E5_v4_clean,E5_v4_clean,0.1188666087236863,0.2467975724569168,0.1287124322901148,-0.1607393533557407,0,0,0.45496333633164326,"{""E1_v5_clean"": 0.45496333633164326, ""E2_v3_clean"": 0.10695486136391284, ""E5_v4_clean"": 0.01565904669846167, ""E7_v3_clean"": 0.4224227556059822}",logistic_regression_multinomial,raw_prediction_available,ranking_best_available,12,4,"E1_v5_clean,E2_v3_clean,E5_v4_clean,E7_v3_clean",5,"E1_v5_clean,E2_v3_clean,E3_v2_clean,E5_v4_clean,E7_v3_clean",0.1188666087236863,0.2026233179739081,0.1158725874635451,0.1287124322901148,0.2467975724569168,
2025-11-17,2025-11-17,3,2,0.218016998769719,0.0821158156091689,E2_v3_clean,E2_v3_clean,E1_v5_clean,E1_v5_clean,E5_v4_clean,E5_v4_clean,0.1259545042384775,0.1179401671266582,0.1602808492867374,0.043838688629308606,0,0,0.5019197099081129,"{""E1_v5_clean"": 0.5019197099081129, ""E2_v3_clean"": 0.12068150422569099, ""E5_v4_clean"": 0.20631105393598767, ""E7_v3_clean"": 0.17108773193020863}",logistic_regression_multinomial,raw_prediction_available,ranking_best_available,13,4,"E1_v5_clean,E2_v3_clean,E5_v4_clean,E7_v3_clean",5,"E1_v5_clean,E2_v3_clean,E3_v2_clean,E5_v4_clean,E7_v3_clean",0.1259545042384775,0.1179401671266582,0.131521893721393,0.1602808492867374,0.1340845911724634,
2025-11-24,2025-11-24,3,3,0.12751595957534,0.303813076524669,E7_v3_clean,E7_v3_clean,E2_v3_clean,E2_v3_clean,E1_v5_clean,E1_v5_clean,0.0905963384948535,0.1771704896085834,0.1245643368357248,-0.2132167380298155,0,0,0.5072554360928662,"{""E1_v5_clean"": 0.3005134543563449, ""E2_v3_clean"": 0.5072554360928662, ""E5_v4_clean"": 0.05341405723917959, ""E7_v3_clean"": 0.13881705231160954}",logistic_regression_multinomial,raw_prediction_available,ranking_best_available,14,4,"E1_v5_clean,E2_v3_clean,E5_v4_clean,E7_v3_clean",6,"E1_v5_clean,E2_v3_clean,E3_v2_clean,E5_v4_clean,E7_v3_clean,E9_v2_clean",0.1245643368357248,0.0905963384948535,0.1252211330118537,0.1246065841883997,0.1771704896085834,0.0962334662807586
2025-12-01,2025-12-01,3,4,0.279605962079427,0.0677012815654136,E9_v2_clean,E9_v2_clean,E7_v3_clean,E7_v3_clean,E1_v5_clean,E1_v5_clean,-0.1180691054762344,0.0651372663553801,0.1428047818170425,-0.185770387041648,0,0,0.7013040990766004,"{""E1_v5_clean"": 0.09245210640329224, ""E2_v3_clean"": 0.15696169857294145, ""E5_v4_clean"": 0.04928209594716597, ""E7_v3_clean"": 0.7013040990766004}",logistic_regression_multinomial,raw_prediction_available,ranking_best_available,15,4,"E1_v5_clean,E2_v3_clean,E5_v4_clean,E7_v3_clean",6,"E1_v5_clean,E2_v3_clean,E3_v2_clean,E5_v4_clean,E7_v3_clean,E9_v2_clean",0.1428047818170425,0.3459182607476955,0.1682153359042215,0.2104074196110221,-0.1180691054762344,0.0651372663553801
2025-12-08,2025-12-08,3,5,0.0821158156091689,0.583621878201202,E2_v3_clean,E2_v3_clean,E7_v3_clean,E7_v3_clean,E1_v5_clean,E1_v5_clean,0.242977476659143,0.2700800071761901,0.1269793647596498,-0.34064440154205905,0,0,0.9678288869859,"{""E1_v5_clean"": 0.007202676931790679, ""E2_v3_clean"": 0.018790462911125235, ""E5_v4_clean"": 0.0023545465597572383, ""E7_v3_clean"": 0.9678288869859, ""E9_v2_clean"": 0.003823426611427005}",logistic_regression_multinomial,raw_prediction_available,ranking_best_available,16,5,"E1_v5_clean,E2_v3_clean,E5_v4_clean,E7_v3_clean,E9_v2_clean",6,"E1_v5_clean,E2_v3_clean,E3_v2_clean,E5_v4_clean,E7_v3_clean,E9_v2_clean",0.1269793647596498,0.2700800071761901,0.1496241077824229,0.1819667128410995,0.242977476659143,0.1516820066130552
2025-12-15,2025-12-15,3,6,0.303813076524669,0.108341978085893,E1_v5_clean,E1_v5_clean,E9_v2_clean,E9_v2_clean,E1_v5_clean,E1_v5_clean,0.0380557056808287,0.1331475866537746,0.1331475866537746,-0.0702862724050643,0,1,0.4775414346711715,"{""E1_v5_clean"": 0.02898510501029239, ""E2_v3_clean"": 0.3337587750971919, ""E5_v4_clean"": 0.10981040914715816, ""E7_v3_clean"": 0.04990427607418597, ""E9_v2_clean"": 0.4775414346711715}",logistic_regression_multinomial,raw_prediction_available,ranking_best_available,17,5,"E1_v5_clean,E2_v3_clean,E5_v4_clean,E7_v3_clean,E9_v2_clean",6,"E1_v5_clean,E2_v3_clean,E3_v2_clean,E5_v4_clean,E7_v3_clean,E9_v2_clean",0.1331475866537746,0.3338517364714506,0.1549547788314056,0.13912431337686,0.0315325855410224,0.0380557056808287
2025-12-22,2025-12-22,3,7,0.0677012815654136,0.0687870202028637,E7_v3_clean,E7_v3_clean,E1_v5_clean,E1_v5_clean,E1_v5_clean,E1_v5_clean,0.1424359338200785,0.0965296284929,0.1424359338200785,0.07364891361721479,0,0,0.42510787227882346,"{""E1_v5_clean"": 0.42510787227882346, ""E2_v3_clean"": 0.1760970871610497, ""E5_v4_clean"": 0.009542923890924425, ""E7_v3_clean"": 0.3713396955174905, ""E9_v2_clean"": 0.017912421151711953}",logistic_regression_multinomial,raw_prediction_available,ranking_best_available,18,5,"E1_v5_clean,E2_v3_clean,E5_v4_clean,E7_v3_clean,E9_v2_clean",6,"E1_v5_clean,E2_v3_clean,E3_v2_clean,E5_v4_clean,E7_v3_clean,E9_v2_clean",0.1424359338200785,0.2301079151776003,0.1404718929921739,0.1051461243109434,0.0965296284929,-0.031459015814706
2025-12-29,2025-12-29,3,8,0.583621878201202,0.245426229585526,E9_v2_clean,E9_v2_clean,E2_v3_clean,E2_v3_clean,E5_v4_clean,E5_v4_clean,0.058996581281463,0.1462510109012895,0.1345822699892855,-0.186429648304063,0,0,0.3593960390260147,"{""E1_v5_clean"": 0.18780529350364703, ""E2_v3_clean"": 0.3593960390260147, ""E5_v4_clean"": 0.30263347115020034, ""E7_v3_clean"": 0.05609936888498166, ""E9_v2_clean"": 0.09406582743515637}",logistic_regression_multinomial,raw_prediction_available,ranking_best_available,19,5,"E1_v5_clean,E2_v3_clean,E5_v4_clean,E7_v3_clean,E9_v2_clean",6,"E1_v5_clean,E2_v3_clean,E3_v2_clean,E5_v4_clean,E7_v3_clean,E9_v2_clean",0.1195127856881802,0.058996581281463,0.1247066706655344,0.1345822699892855,-0.1027106957975698,0.1462510109012895
2026-01-05,2026-01-05,3,9,0.108341978085893,0.320565191490885,E3_v2_clean,E3_v2_clean,E7_v3_clean,E7_v3_clean,E5_v4_clean,E5_v4_clean,-0.0013183314242638,0.1364106886128822,0.1171334300422836,-0.3218835229151488,0,0,0.7381443445192384,"{""E1_v5_clean"": 0.13408179123921363, ""E2_v3_clean"": 0.07496225034479752, ""E5_v4_clean"": 0.004324631584161309, ""E7_v3_clean"": 0.7381443445192384, ""E9_v2_clean"": 0.048486982312589084}",logistic_regression_multinomial,raw_prediction_available,ranking_best_available,20,5,"E1_v5_clean,E2_v3_clean,E5_v4_clean,E7_v3_clean,E9_v2_clean",6,"E1_v5_clean,E2_v3_clean,E3_v2_clean,E5_v4_clean,E7_v3_clean,E9_v2_clean",0.13266212011944,0.1330043289969895,0.1364106886128822,0.1171334300422836,-0.0013183314242638,0.0701061691184735
2026-01-12,2026-01-12,3,10,0.0687870202028637,0.170007405822799,E1_v5_clean,E1_v5_clean,E7_v3_clean,E7_v3_clean,E5_v4_clean,E5_v4_clean,0.120821348989198,0.1366275786292786,0.1143359556848713,-0.049186056833601,0,0,0.4821227060915151,"{""E1_v5_clean"": 0.05882085364505046, ""E2_v3_clean"": 0.31685830391611514, ""E3_v2_clean"": 0.09312408403935842, ""E5_v4_clean"": 0.0019300448672321298, ""E7_v3_clean"": 0.4821227060915151, ""E9_v2_clean"": 0.047144007440728816}",logistic_regression_multinomial,raw_prediction_available,ranking_best_available,21,6,"E1_v5_clean,E2_v3_clean,E3_v2_clean,E5_v4_clean,E7_v3_clean,E9_v2_clean",6,"E1_v5_clean,E2_v3_clean,E3_v2_clean,E5_v4_clean,E7_v3_clean,E9_v2_clean",0.1366275786292786,0.3143262484079441,0.1329335043766814,0.1143359556848713,0.120821348989198,0.0818911267487492
