fecha_inicio_semana,fecha_referencia,horizonte_sem,y_current,y_true,prediccion_numerica_oficial,delta_real,delta_predicho,direction_real,direction_predicha,direction_correcta,modelo_oficial_numerico,run_id_origen,run_dir_origen
2025-09-01,2025-09-01,1,0.0328375249929475,0.0750438311217277,0.0989957906366822,0.0422063061287802,0.0661582656437347,sube,sube,True,E1_v5_clean,E1_v5_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E1_v5_clean_20260609_101340
2025-09-08,2025-09-08,1,0.0750438311217277,0.2441502073228642,0.1200657243762832,0.1691063762011365,0.045021893254555495,sube,sube,True,E1_v5_clean,E1_v5_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E1_v5_clean_20260609_101340
2025-09-15,2025-09-15,1,0.2441502073228642,0.0353374615739687,0.1375469901435297,-0.2088127457488955,-0.10660321717933449,baja,baja,True,E1_v5_clean,E1_v5_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E1_v5_clean_20260609_101340
2025-09-22,2025-09-22,1,0.0353374615739687,0.037083177521204,0.129116494186562,0.001745715947235299,0.0937790326125933,sube,sube,True,E1_v5_clean,E1_v5_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E1_v5_clean_20260609_101340
2025-09-29,2025-09-29,1,0.037083177521204,0.0408302409621365,0.1202868592490021,0.0037470634409325007,0.0832036817277981,sube,sube,True,E1_v5_clean,E1_v5_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E1_v5_clean_20260609_101340
2025-10-06,2025-10-06,1,0.0408302409621365,-0.0316621893348031,0.1234751686260439,-0.07249243029693961,0.0826449276639074,baja,sube,False,E1_v5_clean,E1_v5_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E1_v5_clean_20260609_101340
2025-10-13,2025-10-13,1,-0.0316621893348031,0.1674127209149191,0.1100164667000173,0.1990749102497222,0.1416786560348204,sube,sube,True,E1_v5_clean,E1_v5_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E1_v5_clean_20260609_101340
2025-10-20,2025-10-20,1,0.1674127209149191,0.1348235807179079,0.0980812191745394,-0.0325891401970112,-0.0693315017403797,baja,baja,True,E1_v5_clean,E1_v5_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E1_v5_clean_20260609_101340
2025-10-27,2025-10-27,1,0.1348235807179079,0.1706579055696051,0.1209273161753731,0.035834324851697213,-0.0138962645425348,sube,baja,False,E1_v5_clean,E1_v5_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E1_v5_clean_20260609_101340
2025-11-03,2025-11-03,1,0.1706579055696051,0.0692562741764683,0.1206514126931,-0.1014016313931368,-0.05000649287650512,baja,baja,True,E1_v5_clean,E1_v5_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E1_v5_clean_20260609_101340
2025-11-10,2025-11-10,1,0.0692562741764683,0.218016998769719,0.1087783030921634,0.14876072459325068,0.03952202891569509,sube,sube,True,E1_v5_clean,E1_v5_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E1_v5_clean_20260609_101340
2025-11-17,2025-11-17,1,0.218016998769719,0.1275159595753403,0.1235465896974848,-0.09050103919437871,-0.0944704090722342,baja,baja,True,E1_v5_clean,E1_v5_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E1_v5_clean_20260609_101340
2025-11-24,2025-11-24,1,0.1275159595753403,0.2796059620794268,0.1245815440505982,0.1520900025040865,-0.0029344155247420928,sube,baja,False,E1_v5_clean,E1_v5_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E1_v5_clean_20260609_101340
2025-12-01,2025-12-01,1,0.2796059620794268,0.0821158156091689,0.1281855786715494,-0.19749014647025787,-0.1514203834078774,baja,baja,True,E1_v5_clean,E1_v5_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E1_v5_clean_20260609_101340
2025-12-08,2025-12-08,1,0.0821158156091689,0.3038130765246692,0.1276809050036548,0.2216972609155003,0.045565089394485905,sube,sube,True,E1_v5_clean,E1_v5_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E1_v5_clean_20260609_101340
2025-12-15,2025-12-15,1,0.3038130765246692,0.0677012815654136,0.1316871584486493,-0.2361117949592556,-0.1721259180760199,baja,baja,True,E1_v5_clean,E1_v5_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E1_v5_clean_20260609_101340
2025-12-22,2025-12-22,1,0.0677012815654136,0.5836218782012019,0.1304825283801017,0.5159205966357883,0.06278124681468808,sube,sube,True,E1_v5_clean,E1_v5_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E1_v5_clean_20260609_101340
2025-12-29,2025-12-29,1,0.5836218782012019,0.1083419780858929,0.1372261076731768,-0.475279900115309,-0.44639577052802515,baja,baja,True,E1_v5_clean,E1_v5_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E1_v5_clean_20260609_101340
2026-01-05,2026-01-05,1,0.1083419780858929,0.0687870202028637,0.1360934145043561,-0.03955495788302919,0.027751436418463213,baja,sube,False,E1_v5_clean,E1_v5_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E1_v5_clean_20260609_101340
2026-01-12,2026-01-12,1,0.0687870202028637,0.2454262295855256,0.1337344201417731,0.1766392093826619,0.06494739993890941,sube,sube,True,E1_v5_clean,E1_v5_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E1_v5_clean_20260609_101340
2026-01-19,2026-01-19,1,0.2454262295855256,0.3205651914908854,0.1357515410302168,0.07513896190535982,-0.10967468855530879,sube,baja,False,E1_v5_clean,E1_v5_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E1_v5_clean_20260609_101340
2026-01-26,2026-01-26,1,0.3205651914908854,0.1700074058227992,0.1416467178314855,-0.15055778566808622,-0.17891847365939992,baja,baja,True,E1_v5_clean,E1_v5_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E1_v5_clean_20260609_101340
2026-02-02,2026-02-02,1,0.1700074058227992,-0.0198367240853287,0.1429977583060304,-0.18984412990812788,-0.027009647516768792,baja,baja,True,E1_v5_clean,E1_v5_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E1_v5_clean_20260609_101340
2026-02-09,2026-02-09,1,-0.0198367240853287,0.0960196886446368,0.1394013945655348,0.1158564127299655,0.15923811865086349,sube,sube,True,E1_v5_clean,E1_v5_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E1_v5_clean_20260609_101340
2026-02-16,2026-02-16,1,0.0960196886446368,0.2772506816416401,0.1386440751222623,0.1812309929970033,0.042624386477625495,sube,sube,True,E1_v5_clean,E1_v5_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E1_v5_clean_20260609_101340
2026-02-23,2026-02-23,1,0.2772506816416401,0.2100585882774014,0.1400669717692085,-0.06719209336423868,-0.1371837098724316,baja,baja,True,E1_v5_clean,E1_v5_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E1_v5_clean_20260609_101340
2026-03-02,2026-03-02,1,0.2100585882774014,0.0271685648311405,0.1416244833870862,-0.1828900234462609,-0.0684341048903152,baja,baja,True,E1_v5_clean,E1_v5_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E1_v5_clean_20260609_101340
2026-03-09,2026-03-09,1,0.0271685648311405,0.1211586643975283,0.1400553124199113,0.0939900995663878,0.11288674758877079,sube,sube,True,E1_v5_clean,E1_v5_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E1_v5_clean_20260609_101340
2026-03-16,2026-03-16,1,0.1211586643975283,-0.0054622217770953,0.1405590112798982,-0.1266208861746236,0.019400346882369898,baja,sube,False,E1_v5_clean,E1_v5_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E1_v5_clean_20260609_101340
2026-03-23,2026-03-23,1,-0.0054622217770953,0.0669147100498927,0.1369004054746492,0.072376931826988,0.1423626272517445,sube,sube,True,E1_v5_clean,E1_v5_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E1_v5_clean_20260609_101340
2026-03-30,2026-03-30,1,0.0669147100498927,0.110472470964671,0.1364170624927753,0.043557760914778296,0.0695023524428826,sube,sube,True,E1_v5_clean,E1_v5_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E1_v5_clean_20260609_101340
2026-04-06,2026-04-06,1,0.110472470964671,0.0668779193556926,0.135896371568278,-0.043594551608978405,0.025423900603606997,baja,sube,False,E1_v5_clean,E1_v5_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E1_v5_clean_20260609_101340
2026-04-13,2026-04-13,1,0.0668779193556926,0.042142027416753,0.1348002063649946,-0.024735891938939596,0.067922287009302,baja,sube,False,E1_v5_clean,E1_v5_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E1_v5_clean_20260609_101340
2026-04-20,2026-04-20,1,0.042142027416753,0.0732244276596991,0.131868119230374,0.031082400242946097,0.08972609181362101,sube,sube,True,E1_v5_clean,E1_v5_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E1_v5_clean_20260609_101340
2025-09-01,2025-09-01,2,0.0328375249929475,0.2441502073228642,0.1193493108555343,0.21131268232991668,0.08651178586258679,sube,sube,True,E1_v5_clean,E1_v5_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E1_v5_clean_20260609_101340
2025-09-08,2025-09-08,2,0.0750438311217277,0.0353374615739687,0.1266907960530014,-0.039706369547759,0.0516469649312737,baja,sube,False,E1_v5_clean,E1_v5_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E1_v5_clean_20260609_101340
2025-09-15,2025-09-15,2,0.2441502073228642,0.037083177521204,0.1237914533691564,-0.2070670298016602,-0.12035875395370779,baja,baja,True,E1_v5_clean,E1_v5_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E1_v5_clean_20260609_101340
2025-09-22,2025-09-22,2,0.0353374615739687,0.0408302409621365,0.1184366567205115,0.0054927793881678,0.08309919514654279,sube,sube,True,E1_v5_clean,E1_v5_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E1_v5_clean_20260609_101340
2025-09-29,2025-09-29,2,0.037083177521204,-0.0316621893348031,0.1182040023122788,-0.0687453668560071,0.0811208247910748,baja,sube,False,E1_v5_clean,E1_v5_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E1_v5_clean_20260609_101340
2025-10-06,2025-10-06,2,0.0408302409621365,0.1674127209149191,0.1132055848126442,0.1265824799527826,0.0723753438505077,sube,sube,True,E1_v5_clean,E1_v5_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E1_v5_clean_20260609_101340
2025-10-13,2025-10-13,2,-0.0316621893348031,0.1348235807179079,0.0986198277875675,0.166485770052711,0.1302820171223706,sube,sube,True,E1_v5_clean,E1_v5_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E1_v5_clean_20260609_101340
2025-10-20,2025-10-20,2,0.1674127209149191,0.1706579055696051,0.1153917576446671,0.003245184654686012,-0.052020963270252005,sube,baja,False,E1_v5_clean,E1_v5_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E1_v5_clean_20260609_101340
2025-10-27,2025-10-27,2,0.1348235807179079,0.0692562741764683,0.1166362490494028,-0.0655673065414396,-0.0181873316685051,baja,baja,True,E1_v5_clean,E1_v5_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E1_v5_clean_20260609_101340
2025-11-03,2025-11-03,2,0.1706579055696051,0.218016998769719,0.115289376194646,0.04735909320011389,-0.055368529374959105,sube,baja,False,E1_v5_clean,E1_v5_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E1_v5_clean_20260609_101340
2025-11-10,2025-11-10,2,0.0692562741764683,0.1275159595753403,0.1185867077116928,0.05825968539887198,0.0493304335352245,sube,sube,True,E1_v5_clean,E1_v5_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E1_v5_clean_20260609_101340
2025-11-17,2025-11-17,2,0.218016998769719,0.2796059620794268,0.1195955172764737,0.061588963309707784,-0.0984214814932453,sube,baja,False,E1_v5_clean,E1_v5_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E1_v5_clean_20260609_101340
2025-11-24,2025-11-24,2,0.1275159595753403,0.0821158156091689,0.1230314325744999,-0.04540014396617138,-0.004484527000840385,baja,baja,True,E1_v5_clean,E1_v5_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E1_v5_clean_20260609_101340
2025-12-01,2025-12-01,2,0.2796059620794268,0.3038130765246692,0.1232470507833054,0.024207114445242428,-0.1563589112961214,sube,baja,False,E1_v5_clean,E1_v5_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E1_v5_clean_20260609_101340
2025-12-08,2025-12-08,2,0.0821158156091689,0.0677012815654136,0.127218207679002,-0.014414534043755298,0.04510239206983309,baja,sube,False,E1_v5_clean,E1_v5_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E1_v5_clean_20260609_101340
2025-12-15,2025-12-15,2,0.3038130765246692,0.5836218782012019,0.1252032641720607,0.2798088016765327,-0.1786098123526085,sube,baja,False,E1_v5_clean,E1_v5_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E1_v5_clean_20260609_101340
2025-12-22,2025-12-22,2,0.0677012815654136,0.1083419780858929,0.1328509357741993,0.04064069652047929,0.06514965420878568,sube,sube,True,E1_v5_clean,E1_v5_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E1_v5_clean_20260609_101340
2025-12-29,2025-12-29,2,0.5836218782012019,0.0687870202028637,0.1327528580685145,-0.5148348579983382,-0.4508690201326874,baja,baja,True,E1_v5_clean,E1_v5_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E1_v5_clean_20260609_101340
2026-01-05,2026-01-05,2,0.1083419780858929,0.2454262295855256,0.1087559708504473,0.13708425149963271,0.0004139927645544078,sube,sube,True,E1_v5_clean,E1_v5_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E1_v5_clean_20260609_101340
2026-01-12,2026-01-12,2,0.0687870202028637,0.3205651914908854,0.1324946472553376,0.2517781712880217,0.0637076270524739,sube,sube,True,E1_v5_clean,E1_v5_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E1_v5_clean_20260609_101340
2026-01-19,2026-01-19,2,0.2454262295855256,0.1700074058227992,0.137287962010943,-0.0754188237627264,-0.10813826757458259,baja,baja,True,E1_v5_clean,E1_v5_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E1_v5_clean_20260609_101340
2026-01-26,2026-01-26,2,0.3205651914908854,-0.0198367240853287,0.1386585571003118,-0.34040191557621413,-0.1819066343905736,baja,baja,True,E1_v5_clean,E1_v5_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E1_v5_clean_20260609_101340
2026-02-02,2026-02-02,2,0.1700074058227992,0.0960196886446368,0.1349216954751034,-0.0739877171781624,-0.03508571034769578,baja,baja,True,E1_v5_clean,E1_v5_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E1_v5_clean_20260609_101340
2026-02-09,2026-02-09,2,-0.0198367240853287,0.2772506816416401,0.134998151711059,0.2970874057269688,0.1548348757963877,sube,sube,True,E1_v5_clean,E1_v5_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E1_v5_clean_20260609_101340
