Query_Str,Post_URL,Author_Name,Author_Web_Page_URL,Author_Handle,Verified_Status,UTC_Time,Ads,Tweet_Content,Post_ID,Tweet_URL,Reply_Count,Repost_Count,Like_Count,View_Count,Bookmark_Count,Tweet_Image_URL,Replying_to,Reply_to_Whom,Reply_to_Whom_URL,Reply_to_Whom_Username,Reply_to_Whom_Handle,Language,Type
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2024-11-13 since:2024-11-12&src=typed_query,Rick Gonzalez,https://x.com/rickieglz,rickieglz,False,2024-11-12 15:01:00+00:00,False,@TampicoGob 3 semanas sin que se lleven la basura en Avenida Las Torres entre Calzada San Pedro y Mier.,1856351494879981960,https://x.com/rickieglz/status/1856351494879981960,0,0,0,6,0,https://pbs.twimg.com/ext_tw_video_thumb/1856351161130893312/pu/img/nELdVi71j_61fmHO.jpg;https://pbs.twimg.com/media/GcMVZKiWAAAGTzK.jpg;https://pbs.twimg.com/media/GcMVZBZWQAAMXAG.jpg,True,TampicoGob,https://x.com/TampicoGob,Tampico Gob,TampicoGob,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2024-11-13 since:2024-11-12&src=typed_query,Roberto Randu,https://x.com/robertsranduks,robertsranduks,False,2024-11-12 19:26:39+00:00,False,"Jajajaja en #Tampico no es el caso Vd ""Lic Mantequilla"" ahi dejo a los Panistas (bueno varios Priistas tambien) @MonicaVTampico ccp el #Español y los Morenistas que la apoyaron aun banquiados todavia.",1856418349300752663,https://x.com/robertsranduks/status/1856418349300752663,0,0,0,83,0,,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2024-11-12 since:2024-11-11&src=typed_query,MÓNICA RODRÍGUEZ 🐤,https://x.com/MONYRODRIGUEZOF,MONYRODRIGUEZOF,True,2024-11-12 20:25:22+00:00,False,Seguir difundiendo por favor 🆘🆘🆘🆘🆘🆘🆘,1856433123312955459,https://x.com/MONYRODRIGUEZOF/status/1856433123312955459,4,912,271,20670,0,,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2024-11-13 since:2024-11-12&src=typed_query,MÓNICA RODRÍGUEZ 🐤,https://x.com/MONYRODRIGUEZOF,MONYRODRIGUEZOF,True,2024-11-12 20:25:22+00:00,False,Seguir difundiendo por favor 🆘🆘🆘🆘🆘🆘🆘,1856433123312955459,https://x.com/MONYRODRIGUEZOF/status/1856433123312955459,4,912,271,20670,0,,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2024-11-13 since:2024-11-12&src=typed_query,Tampico Gob,https://x.com/TampicoGob,TampicoGob,False,2024-11-12 23:11:11+00:00,False,"La presidenta @MonicaVTampico y el Rector de la UAT, @DamasoAnayaUAT, firmaron un convenio para el programa “Sonrisas del Bienestar”, que ofrece atención odontológica gratuita a la población de Tampico. #TampicoTeCuida",1856474853530054718,https://x.com/TampicoGob/status/1856474853530054718,0,0,1,63,0,https://pbs.twimg.com/media/GcOGCeOWcAAQSGt.jpg;https://pbs.twimg.com/media/GcOGCeRXwAAaTpR.jpg;https://pbs.twimg.com/media/GcOGCeQWYAAvC-8.jpg;https://pbs.twimg.com/media/GcOGCeNWUAAj12f.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2024-11-14 since:2024-11-13&src=typed_query,Vox Populi Noticias,https://x.com/VoxPopuliNoti,VoxPopuliNoti,True,2024-11-13 00:16:11+00:00,False,UAT y Tampico unidos por el bienestar social Dámaso Anaya y Mónica Villarreal presentan el programa “Sonrisas del Bienestar” e inauguran la Clínica Dental. https://voxpopulinoticias.com.mx/2024/11/uat-y-tampico-impulsan-proyectos-comunitarios/ #UAT @MonicaVTampico @DamasoAnayaUAT,1856491211600679390,https://x.com/VoxPopuliNoti/status/1856491211600679390,0,0,0,116,0,https://pbs.twimg.com/media/GcOTQBAXkAA584f.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2024-11-14 since:2024-11-13&src=typed_query,Todo Noticias,https://x.com/TDNoticiasmx,TDNoticiasmx,False,2024-11-13 00:45:56+00:00,False,El rector @DamasoAnayaUAT y alcaldesa @MonicaVTampico unen esfuerzos en desarrollo académico y social https://todonoticiasmx.com/educacion/uat-y-el-ayuntamiento-de-tampico-suman-esfuerzos-para-el-bienestar-social/ #tamaulipas @UAT_mx,1856498698609398086,https://x.com/TDNoticiasmx/status/1856498698609398086,0,0,0,33,0,,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2024-11-14 since:2024-11-13&src=typed_query,Eduardo VizMar,https://x.com/EduardoVizMar,EduardoVizMar,False,2024-11-13 04:14:28+00:00,False,Diputados Locales Realizan en Tampico Foro Sobre Reforma al Poder Judicial del Estado https://www.notivizanoreste.com/vernota/81955/diputados-locales-realizan-en-tampico-foro-sobre-reforma-al-poder-judicial-del-estado/ @CongresoTams @Betoprietoh @MonicaVTampico @erasmoglz,1856551179880153236,https://x.com/EduardoVizMar/status/1856551179880153236,0,1,0,59,0,https://pbs.twimg.com/media/GcPK_O0WcAA0Zvz.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2024-11-14 since:2024-11-13&src=typed_query,Eduardo VizMar,https://x.com/EduardoVizMar,EduardoVizMar,False,2024-11-13 04:33:43+00:00,False,La UAT y el Ayuntamiento de Tampico suman esfuerzos para el bienestar social https://www.notivizanoreste.com/vernota/81956/la-uat-y-el-ayuntamiento-de-tampico-suman-esfuerzos-para-el-bienestar-social/ @UAT_mx @DamasoAnayaUAT @MonicaVTampico @TampicoGob,1856556021579124777,https://x.com/EduardoVizMar/status/1856556021579124777,0,1,0,40,0,,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2024-11-14 since:2024-11-13&src=typed_query,NOTIVIZA,https://x.com/Notiviza,Notiviza,True,2024-11-13 04:34:41+00:00,False,La UAT y el Ayuntamiento de Tampico suman esfuerzos para el bienestar social https://www.notivizanoreste.com/vernota/81956/la-uat-y-el-ayuntamiento-de-tampico-suman-esfuerzos-para-el-bienestar-social/ @UAT_mx @DamasoAnayaUAT @MonicaVTampico @TampicoGob,1856556266904060040,https://x.com/Notiviza/status/1856556266904060040,0,1,0,27,0,,False,,,,,es,Top
