comment_text,published_at,query
"Es &quot;segura&quot; y no hay balaceras porque el gobierno de esa zona trabaja con esa raza, no como en el Norte de Tamaulipas, en Tampico la mayoría de la gente esta ensartada con los cobros de piso a negocios y lineas de transporte por parte de vialidad.",2024-11-19T06:19:57Z,Gobierno de Tampico
"Es &quot;segura&quot; y no hay balaceras porque el gobierno de esa zona trabaja con esa raza, no como en el Norte de Tamaulipas, en Tampico la mayoría de la gente esta ensartada con los cobros de piso a negocios y lineas de transporte por parte de vialidad.",2024-11-19T06:19:57Z,Gobierno de Tampico
"Altamira,,,segura y tranquila ❤",2024-11-19T08:24:36Z,Gobierno de Tampico
"Altamira,,,segura y tranquila ❤",2024-11-19T08:24:36Z,Gobierno de Tampico
Y se formó la rendición en lo que ahora es Pueblo Viejo Ver.,2024-11-19T14:40:04Z,Gobierno de Tampico
Y las de discapacidad de 63 pasaran automáticamente  al programa  ho tienen q hacer algún trámite  gracias ojala y contesten,2024-11-20T00:22:24Z,Gobierno de Tampico
Y las de discapacidad de 63 pasaran automáticamente  al programa  ho tienen q hacer algún trámite  gracias ojala y contesten,2024-11-20T00:22:24Z,gobierno de Tampico
"Christian Castro, 473 papi, que gustazo gracias en verdad, Sobres En Santa Carnal,  un abrazo a todos mis Hermanos,  saludos al Flacko, en donde quiera que se encuentre cautivo, Woody, Boys in tha hood. Mataviejitas gracias por enseñarme a Operar  el Mamalon, Sharmin , palomino, Gansito, Chuy te extraño gordo, Mimoso, sobres con niña, Guaco, Cuervo , Erick, Apache, Garrafón, Furcio, Grillo, Camorras Tiroloco los dedicados, Beto Naufrago, gallo giro,  Ese par de iguala, no termino si los mensiono a todos toditos ustedes la mejor escuela donde pude haber iniciado este vuelo.  Haber cuando se arma El convoy... Awevooo.! Curiositos Carnales  del vídeo. A la orden pa el desorden...",2024-11-20T11:03:18Z,Gobierno de Tampico
"Christian Castro, 473 papi, que gustazo gracias en verdad, Sobres En Santa Carnal,  un abrazo a todos mis Hermanos,  saludos al Flacko, en donde quiera que se encuentre cautivo, Woody, Boys in tha hood. Mataviejitas gracias por enseñarme a Operar  el Mamalon, Sharmin , palomino, Gansito, Chuy te extraño gordo, Mimoso, sobres con niña, Guaco, Cuervo , Erick, Apache, Garrafón, Furcio, Grillo, Camorras Tiroloco los dedicados, Beto Naufrago, gallo giro,  Ese par de iguala, no termino si los mensiono a todos toditos ustedes la mejor escuela donde pude haber iniciado este vuelo.  Haber cuando se arma El convoy... Awevooo.! Curiositos Carnales  del vídeo. A la orden pa el desorden...",2024-11-20T11:03:18Z,gobierno de Tampico
"Christian Castro, 473 papi, que gustazo gracias en verdad, Sobres En Santa Carnal,  un abrazo a todos mis Hermanos,  saludos al Flacko, en donde quiera que se encuentre cautivo, Woody, Boys in tha hood. Mataviejitas gracias por enseñarme a Operar  el Mamalon, Sharmin , palomino, Gansito, Chuy te extraño gordo, Mimoso, sobres con niña, Guaco, Cuervo , Erick, Apache, Garrafón, Furcio, Grillo, Camorras Tiroloco los dedicados, Beto Naufrago, gallo giro,  Ese par de iguala, no termino si los mensiono a todos toditos ustedes la mejor escuela donde pude haber iniciado este vuelo.  Haber cuando se arma El convoy... Awevooo.! Curiositos Carnales  del vídeo. A la orden pa el desorden...",2024-11-20T11:03:18Z,Gobierno de Tampico
