comment_text,published_at,query
Los extraterrestres los protejen al 100℅ no cabe duda,2024-12-11T01:58:14Z,Gobierno de Tampico
Los extraterrestres los protejen al 100℅ no cabe duda,2024-12-11T01:58:14Z,Gobierno de Tampico
Disfruten lo votado😬,2024-12-11T05:02:10Z,presidenta municipal de Tampico
Disfruten lo votado😬,2024-12-11T05:02:10Z,Presidenta municipal de Tampico
Disfruten lo votado😬,2024-12-11T05:02:10Z,Gobierno de Tampico
Disfruten lo votado😬,2024-12-11T05:02:10Z,gobierno de Tampico
Disfruten lo votado😬,2024-12-11T05:02:10Z,presidenta municipal de Tampico
Disfruten lo votado😬,2024-12-11T05:02:10Z,Presidenta municipal de Tampico
Disfruten lo votado😬,2024-12-11T05:02:10Z,Gobierno de Tampico
Disfruten lo votado😬,2024-12-11T05:02:10Z,gobierno de Tampico
"No se pero esos weyes siempre regalaban comida y ayudaban a la gente, incluso nos cuidaban mejor que la policía de Tuxpan jajaja",2024-12-11T07:09:30Z,Gobierno de Tampico
"No se pero esos weyes siempre regalaban comida y ayudaban a la gente, incluso nos cuidaban mejor que la policía de Tuxpan jajaja",2024-12-11T07:09:30Z,gobierno de Tampico
"No se pero esos weyes siempre regalaban comida y ayudaban a la gente, incluso nos cuidaban mejor que la policía de Tuxpan jajaja",2024-12-11T07:09:30Z,Gobierno de Tampico
"No se pero esos weyes siempre regalaban comida y ayudaban a la gente, incluso nos cuidaban mejor que la policía de Tuxpan jajaja",2024-12-11T07:09:30Z,gobierno de Tampico
🔥🔥🇲🇽,2024-12-11T11:41:26Z,Gobierno de Tampico
🔥🔥🇲🇽,2024-12-11T11:41:26Z,gobierno de Tampico
🔥🔥🇲🇽,2024-12-11T11:41:26Z,Gobierno de Tampico
🔥🔥🇲🇽,2024-12-11T11:41:26Z,gobierno de Tampico
Locos en la bufa fumando la que apesta 🔥<br>Arriba Guanajuato y Zacatecas 🔥🫡,2024-12-11T23:41:02Z,Gobierno de Tampico
Locos en la bufa fumando la que apesta 🔥<br>Arriba Guanajuato y Zacatecas 🔥🫡,2024-12-11T23:41:02Z,gobierno de Tampico
Locos en la bufa fumando la que apesta 🔥<br>Arriba Guanajuato y Zacatecas 🔥🫡,2024-12-11T23:41:02Z,Gobierno de Tampico
Locos en la bufa fumando la que apesta 🔥<br>Arriba Guanajuato y Zacatecas 🔥🫡,2024-12-11T23:41:02Z,gobierno de Tampico
Somos De Santa Somos Reales💯💯,2024-12-12T00:37:27Z,Gobierno de Tampico
Somos De Santa Somos Reales💯💯,2024-12-12T00:37:27Z,gobierno de Tampico
Somos De Santa Somos Reales💯💯,2024-12-12T00:37:27Z,Gobierno de Tampico
Somos De Santa Somos Reales💯💯,2024-12-12T00:37:27Z,gobierno de Tampico
Cómo se llama la calle,2024-12-14T05:59:15Z,Gobierno de Tampico
Piedras negras esta culero,2024-12-14T13:44:10Z,Gobierno de Tampico
Piedras negras esta culero,2024-12-14T13:44:10Z,Gobierno de Tampico
SOMOS DE Santa somos reales.💚🔥✌️,2024-12-14T16:36:21Z,Gobierno de Tampico
SOMOS DE Santa somos reales.💚🔥✌️,2024-12-14T16:36:21Z,gobierno de Tampico
SOMOS DE Santa somos reales.💚🔥✌️,2024-12-14T16:36:21Z,Gobierno de Tampico
SOMOS DE Santa somos reales.💚🔥✌️,2024-12-14T16:36:21Z,gobierno de Tampico
"Pregunta, ¿Donde saco esa carta azul que nos mostraste??",2024-12-15T06:48:40Z,presidenta municipal de Tampico
"Pregunta, ¿Donde saco esa carta azul que nos mostraste??",2024-12-15T06:48:40Z,Presidenta municipal de Tampico
Somos la santa ❤,2024-12-15T14:51:42Z,Gobierno de Tampico
Somos la santa ❤,2024-12-15T14:51:42Z,gobierno de Tampico
Somos la santa ❤,2024-12-15T14:51:42Z,Gobierno de Tampico
Somos la santa ❤,2024-12-15T14:51:42Z,gobierno de Tampico
Estoy de acuerdo párese que no hay cordinación y mucha gente ajena al partido que lo vamos a lamentar,2024-12-15T17:12:46Z,presidenta municipal de Tampico
Estoy de acuerdo párese que no hay cordinación y mucha gente ajena al partido que lo vamos a lamentar,2024-12-15T17:12:46Z,Presidenta municipal de Tampico
Estoy de acuerdo párese que no hay cordinación y mucha gente ajena al partido que lo vamos a lamentar,2024-12-15T17:12:46Z,Gobierno de Tampico
Estoy de acuerdo párese que no hay cordinación y mucha gente ajena al partido que lo vamos a lamentar,2024-12-15T17:12:46Z,gobierno de Tampico
Estoy de acuerdo párese que no hay cordinación y mucha gente ajena al partido que lo vamos a lamentar,2024-12-15T17:12:46Z,presidenta municipal de Tampico
Estoy de acuerdo párese que no hay cordinación y mucha gente ajena al partido que lo vamos a lamentar,2024-12-15T17:12:46Z,Presidenta municipal de Tampico
Estoy de acuerdo párese que no hay cordinación y mucha gente ajena al partido que lo vamos a lamentar,2024-12-15T17:12:46Z,Gobierno de Tampico
Estoy de acuerdo párese que no hay cordinación y mucha gente ajena al partido que lo vamos a lamentar,2024-12-15T17:12:46Z,gobierno de Tampico
Y ciudad Guzmán,2024-12-16T01:37:41Z,Gobierno de Tampico
Y ciudad Guzmán,2024-12-16T01:37:41Z,Gobierno de Tampico
"Pregunta, cuánto tiempo tardó en liberarte?",2024-12-16T09:13:02Z,presidenta municipal de Tampico
"Pregunta, cuánto tiempo tardó en liberarte?",2024-12-16T09:13:02Z,Presidenta municipal de Tampico
Y nuevo Laredo,2024-12-17T02:39:36Z,Gobierno de Tampico
Y nuevo Laredo,2024-12-17T02:39:36Z,Gobierno de Tampico
Ninguna wey,2024-12-17T03:05:22Z,Gobierno de Tampico
Ninguna wey,2024-12-17T03:05:22Z,Gobierno de Tampico
