Query_Str,Post_URL,Author_Name,Author_Web_Page_URL,Author_Handle,Verified_Status,UTC_Time,Ads,Tweet_Content,Post_ID,Tweet_URL,Reply_Count,Repost_Count,Like_Count,View_Count,Bookmark_Count,Tweet_Image_URL,Replying_to,Reply_to_Whom,Reply_to_Whom_URL,Reply_to_Whom_Username,Reply_to_Whom_Handle,Language,Type
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-01-08 since:2025-01-07&src=typed_query,NOTIVIZA,https://x.com/Notiviza,Notiviza,True,2025-01-07 18:55:39+00:00,False,La presidenta de Tampico dijo que con la incorporación de los 6 camiones recolectores de basura se ampliará la cobertura en el servicio y recordó que apenas en el mes de octubre se adquirieron cinco camiones recolectores. https://www.notivizanoreste.com.mx/estado/anuncia-monica-villarreal-nueva-adquisicion-de-mas-camiones-recolectores-de-basura/ @MonicaVTampico,1876704265449685158,https://x.com/Notiviza/status/1876704265449685158,0,2,0,34,0,,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-01-08 since:2025-01-07&src=typed_query,Martha Isabel Alvarado,https://x.com/MarthaIsabelRex,MarthaIsabelRex,False,2025-01-07 19:21:27+00:00,False,https://reporterosenlared.com/nota/125697 Proyecta Ayuntamiento de #Tampico obras de infraestructura vial. #Tamaulipas @MonicaVTampico,1876710759196930514,https://x.com/MarthaIsabelRex/status/1876710759196930514,0,0,0,169,0,,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-01-09 since:2025-01-08&src=typed_query,Tampico Gob,https://x.com/TampicoGob,TampicoGob,False,2025-01-08 01:25:33+00:00,False,La presidenta @monicavtampico anuncia la compra de 6 camiones recolectores para ampliar el servicio de limpieza en Tampico. Esto se suma a los 5 adquiridos en octubre con inversión de 14 mdp. ¡Entornos más limpios y seguros! #TampicoVaConTodos,1876802387496620431,https://x.com/TampicoGob/status/1876802387496620431,1,1,2,1821,0,https://pbs.twimg.com/media/Ggu90uyX0AAFmGy.jpg;https://pbs.twimg.com/media/Ggu90uzXEAE3-bz.jpg;https://pbs.twimg.com/media/Ggu90u0XwAITSDt.jpg;https://pbs.twimg.com/media/Ggu90uyXMAAQiw_.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-01-09 since:2025-01-08&src=typed_query,Pattygb 🇲🇽,https://x.com/Pattygb5,Pattygb5,False,2025-01-08 02:45:13+00:00,False,@Ancho72 @TampicososTV @MilenioTam @MennyValdz @dect1608 @Devesa_News @billygtz @notitam @M1gu3l4lfr3d0 @Lady_Mariell @JULIOBETA @rosana_guerra @rubenrivera @nmastampico Esto nunca se vio con @ChuchoNader NO entiendo para que quiso el puesto @MonicaVTampico sino va a seguir como iba #tampico brillando,1876822436173222305,https://x.com/Pattygb5/status/1876822436173222305,1,1,3,129,0,,True,Ancho72,https://x.com/Ancho72,flaco2,Ancho72,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-01-09 since:2025-01-08&src=typed_query,flaco2,https://x.com/Ancho72,Ancho72,False,2025-01-08 02:46:28+00:00,False,"@Pattygb5 @TampicososTV @MilenioTam @MennyValdz @dect1608 @Devesa_News @billygtz @notitam @M1gu3l4lfr3d0 @Lady_Mariell @JULIOBETA @rosana_guerra @rubenrivera @nmastampico @ChuchoNader @MonicaVTampico Nada dan por el dinero, nada más de eso, no me faltas por las colonias de Tampico, la que elijan está llena de basura y los tienen desde octubre, los guardaron o qué?",1876822752486633767,https://x.com/Ancho72/status/1876822752486633767,0,1,4,116,0,,True,Pattygb5,https://x.com/Pattygb5,Pattygb 🇲🇽,Pattygb5,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-01-09 since:2025-01-08&src=typed_query,Vox Populi Noticias,https://x.com/VoxPopuliNoti,VoxPopuliNoti,True,2025-01-08 04:37:39+00:00,False,"Con 85 incendios en tres meses, Bomberos de Tampico fortalecerán su equipo Alcaldesa de Tampico destaca atención de 85 incendios en tres meses; reforzarán seguridad https://voxpopulinoticias.com.mx/2025/01/bomberos-de-tampico-enfrentan-85-incendios-en-tres-meses/ #Tampico #Tamaulipas @MonicaVTampico",1876850734202814693,https://x.com/VoxPopuliNoti/status/1876850734202814693,0,1,1,179,0,https://pbs.twimg.com/media/GgvpsCQWcAAswGZ.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-01-10 since:2025-01-09&src=typed_query,Iván Guerrero,https://x.com/soyivagro,soyivagro,False,2025-01-09 04:54:50+00:00,False,@TampicoGob @MonicaVTampico Pues otros 5 no estarían de más... la ciudad está toda sucia.,1877217443837256112,https://x.com/soyivagro/status/1877217443837256112,0,0,0,5,0,,True,TampicoGob,https://x.com/TampicoGob,Tampico Gob,TampicoGob,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-01-11 since:2025-01-10&src=typed_query,Vox Populi Noticias,https://x.com/VoxPopuliNoti,VoxPopuliNoti,True,2025-01-10 03:31:43+00:00,False,Tampico implementa medidas para reducir violencia de género y proteger familias Avanzan los trámites para adquirir diez patrullas destinadas a reforzar la seguridad en zonas vulnerables de Tampico https://voxpopulinoticias.com.mx/2025/01/mesa-de-seguridad-y-construccion-de-paz-fortalece-acciones/ #Tampico #Tamaulipas #Seguridad @TampicoGob,1877558916323643548,https://x.com/VoxPopuliNoti/status/1877558916323643548,0,0,0,148,0,https://pbs.twimg.com/media/Gg5t4gCWgAAPHRn.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-01-11 since:2025-01-10&src=typed_query,Vox Populi Noticias,https://x.com/VoxPopuliNoti,VoxPopuliNoti,True,2025-01-10 04:22:19+00:00,False,Atención médica y refugios en Tampico para quienes enfrentan bajas temperaturas Coordinan acciones institucionales para salvaguardar la integridad de las personas vulnerables https://voxpopulinoticias.com.mx/2025/01/tampico-ofrece-refugio-temporal-de-invierno/ #Tampico #Tamaulipas #invierno @TampicoGob,1877571650603946387,https://x.com/VoxPopuliNoti/status/1877571650603946387,0,0,0,179,0,https://pbs.twimg.com/media/Gg55cb4XwAA_aNo.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-01-11 since:2025-01-10&src=typed_query,NOTIVIZA,https://x.com/Notiviza,Notiviza,True,2025-01-10 05:52:08+00:00,False,Fortalecerá Mónica Villarreal Presencia Turística de Tampico en el Próximo Mundial de Futbol sostiene un importante encuentro con miembros del comité organizador de la Copa FIFA Monterrey 2026 https://www.notivizanoreste.com.mx/estado/fortalecera-monica-villarreal-presencia-turistica-de-tampico-en-el-proximo-mundial-de-futbol/ @TampicoGob @MonicaVTampico @SECTUR_TAM,1877594253603303464,https://x.com/Notiviza/status/1877594253603303464,0,1,0,58,0,,False,,,,,es,Top
