comment_text,published_at,query
Vinacho😅,2025-03-18T09:05:17Z,presidenta municipal de Tampico
Vinacho😅,2025-03-18T09:05:17Z,Presidenta municipal de Tampico
El de blanco tiene los nervios de acero! Que bien,2025-03-18T11:32:11Z,presidenta municipal de Tampico
El de blanco tiene los nervios de acero! Que bien,2025-03-18T11:32:11Z,Presidenta municipal de Tampico
Woooooow q horror para el iba pasando,2025-03-18T13:58:57Z,presidenta municipal de Tampico
Woooooow q horror para el iba pasando,2025-03-18T13:58:57Z,Presidenta municipal de Tampico
Bien dicho don José reyes la pura verdad todos los expresidentes se las daban a los presidentes de Estados Unidos,2025-03-18T14:03:29Z,presidenta municipal de Tampico
Bien dicho don José reyes la pura verdad todos los expresidentes se las daban a los presidentes de Estados Unidos,2025-03-18T14:03:29Z,Presidenta municipal de Tampico
Y cuando regreso el JR con la mamá le faltó esa frase,2025-03-18T14:07:37Z,presidenta municipal de Tampico
Y cuando regreso el JR con la mamá le faltó esa frase,2025-03-18T14:07:37Z,Presidenta municipal de Tampico
"Título falso, no es necesario , sabemos del gran talento de Yuri",2025-03-18T14:22:30Z,presidenta municipal de Tampico
"Título falso, no es necesario , sabemos del gran talento de Yuri",2025-03-18T14:22:30Z,Presidenta municipal de Tampico
Viva USA caones sin USA 🇺🇸 se mueren de hombre.  Y su gobierno podrido,2025-03-18T15:57:44Z,presidenta municipal de Tampico
Viva USA caones sin USA 🇺🇸 se mueren de hombre.  Y su gobierno podrido,2025-03-18T15:57:44Z,Presidenta municipal de Tampico
Hay les hablan prianistas ratas,2025-03-18T16:44:02Z,presidenta municipal de Tampico
Hay les hablan prianistas ratas,2025-03-18T16:44:02Z,Presidenta municipal de Tampico
Hay les hablan prianistas ratas,2025-03-18T16:44:12Z,presidenta municipal de Tampico
Hay les hablan prianistas ratas,2025-03-18T16:44:12Z,Presidenta municipal de Tampico
Me extraña que el que iba grabando no hizo ni siquiera por detenerse ante las ramas que calleron,2025-03-18T18:08:57Z,presidenta municipal de Tampico
