"path";"id";"parent_id";"level";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"message";"created_time";"like_count";"comment_count";"error.message"
"964877296876825_1274917260864832/474462132406835_122154919598546197";"181";"2";"1";"474462132406835_122154919598546197";"data";"data.*";"fetched (200)";"2025-11-14 08:25:45.428516";"Facebook:/<page-id>/posts";"";"2025-05-12T16:21:15+0000";"";"";""
"964877296876825_1274917260864832/474462132406835_122154919598546197/474462132406835_122154919598546197";"3658";"181";"2";"474462132406835_122154919598546197";"data";"data.*";"fetched (200)";"2025-11-14 08:47:22.157193";"Facebook:/<post-id>/comments";"👏👏👏👏💯💯💯";"2025-05-13T03:44:28+0000";"0";"0";""
"TampicoGob/474462132406835_122154919598546197/474462132406835_122154919598546197";"3658";"181";"2";"474462132406835_122154919598546197";"data";"data.*";"fetched (200)";"2025-11-14 08:47:22.157193";"Facebook:/<post-id>/comments";"👏👏👏👏💯💯💯";"2025-05-13T03:44:28+0000";"0";"0";""
"964877296876825_1274917260864832/474462132406835_1261867202169838";"180";"2";"1";"474462132406835_1261867202169838";"data";"data.*";"fetched (200)";"2025-11-14 08:25:45.428516";"Facebook:/<page-id>/posts";"Esta mañana acudí a las oficinas centrales de Comapa Sur para cumplir, en tiempo y forma, con el pago del consumo de agua potable de los inmuebles municipales. Con acciones como esta, reafirmamos nuestro compromiso con la legalidad, la responsabilidad y el buen ejemplo desde el gobierno.";"2025-05-12T18:35:22+0000";"";"";""
"964877296876825_1274917260864832/474462132406835_1261867202169838/474462132406835_1261867202169838";"3638";"180";"2";"474462132406835_1261867202169838";"data";"data.*";"fetched (200)";"2025-11-14 08:47:21.760540";"Facebook:/<post-id>/comments";"Muy bien Mónica Villarreal  por ponerles el ejemplo a esa gente , ahora que cumplan y arreglen los colectores colapsados  de Tampico para que usted pueda continuar con las pavimentaciones";"2025-05-12T18:31:25+0000";"0";"1";""
"TampicoGob/474462132406835_1261867202169838/474462132406835_1261867202169838";"3638";"180";"2";"474462132406835_1261867202169838";"data";"data.*";"fetched (200)";"2025-11-14 08:47:21.760540";"Facebook:/<post-id>/comments";"Muy bien Mónica Villarreal  por ponerles el ejemplo a esa gente , ahora que cumplan y arreglen los colectores colapsados  de Tampico para que usted pueda continuar con las pavimentaciones";"2025-05-12T18:31:25+0000";"0";"1";""
"964877296876825_1274917260864832/474462132406835_1257371952619363";"199";"2";"1";"474462132406835_1257371952619363";"data";"data.*";"fetched (200)";"2025-11-14 08:25:45.428516";"Facebook:/<page-id>/posts";"Tampico es el destino turístico de Tamaulipas que lo tiene todo! Ven y disfruta de la Capital de las Huastecas.";"2025-05-06T06:38:33+0000";"";"";""
"964877296876825_1274917260864832/474462132406835_1257371952619363/474462132406835_1257371952619363";"3847";"199";"2";"474462132406835_1257371952619363";"data";"data.*";"fetched (200)";"2025-11-14 08:48:28.220127";"Facebook:/<post-id>/comments";"💯";"2025-05-06T13:29:31+0000";"0";"0";""
"TampicoGob/474462132406835_1257371952619363/474462132406835_1257371952619363";"3847";"199";"2";"474462132406835_1257371952619363";"data";"data.*";"fetched (200)";"2025-11-14 08:48:28.220127";"Facebook:/<post-id>/comments";"💯";"2025-05-06T13:29:31+0000";"0";"0";""
"964877296876825_1274917260864832/964877296876825_1760631871549749";"98";"1";"1";"964877296876825_1760631871549749";"data";"data.*";"fetched (200)";"2025-11-14 08:25:42.075405";"Facebook:/<page-id>/posts";"";"2025-05-06T07:24:13+0000";"";"";""
"964877296876825_1274917260864832/964877296876825_1760631871549749/964877296876825_1760631871549749";"2556";"98";"2";"964877296876825_1760631871549749";"data";"data.*";"fetched (200)";"2025-11-14 08:44:46.097834";"Facebook:/<post-id>/comments";"Vivan las Madres!!!";"2025-05-06T20:36:24+0000";"0";"0";""
"964877296876825_1274917260864832/964877296876825_1260075322349026";"80";"1";"1";"964877296876825_1260075322349026";"data";"data.*";"fetched (200)";"2025-11-14 08:25:40.967191";"Facebook:/<page-id>/posts";"¡Feliz cumpleaños, Esther Rodríguez!🙌🏻 Que este nuevo año de vida esté lleno de bendiciones, logros y momentos inolvidables junto a tus seres queridos.";"2025-05-10T03:31:06+0000";"";"";""
"964877296876825_1274917260864832/964877296876825_1260075322349026/964877296876825_1260075322349026";"2247";"80";"2";"964877296876825_1260075322349026";"data";"data.*";"fetched (200)";"2025-11-14 08:38:38.791263";"Facebook:/<post-id>/comments";"Muchas felicidades !!";"2025-05-10T03:44:10+0000";"0";"0";""
