"path";"id";"parent_id";"level";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"message";"created_time";"like_count";"comment_count";"error.message"
"964877296876825_1298207705202454/474462132406835_122158790204546197";"8209";"7965";"1";"474462132406835_122158790204546197";"data";"data.*";"fetched (200)";"2025-11-14 09:12:22.578189";"Facebook:/<page-id>/posts";"";"2025-06-07T20:57:06+0000";"";"";""
"964877296876825_1298207705202454/474462132406835_122158790204546197/474462132406835_122158790204546197";"15122";"8209";"2";"474462132406835_122158790204546197";"data";"data.*";"fetched (200)";"2025-11-14 09:16:06.544988";"Facebook:/<post-id>/comments";"Excelente trabajo";"2025-06-07T21:01:24+0000";"0";"0";""
"TampicoGob/474462132406835_122158790204546197/474462132406835_122158790204546197";"15122";"8209";"2";"474462132406835_122158790204546197";"data";"data.*";"fetched (200)";"2025-11-14 09:16:06.544988";"Facebook:/<post-id>/comments";"Excelente trabajo";"2025-06-07T21:01:24+0000";"0";"0";""
"964877296876825_1298207705202454/964877296876825_1279125407110684";"8089";"7964";"1";"964877296876825_1279125407110684";"data";"data.*";"fetched (200)";"2025-11-14 09:12:17.895995";"Facebook:/<page-id>/posts";"Me reuní con la diputada Úrsula Patricia Salazar Mojica. Fue una conversación muy valiosa, en la que compartimos ideas y reafirmamos nuestro compromiso con nuestra bella ciudad. Seguimos trabajando juntas, con el corazón y la mirada puesta en un futuro mejor para todas y todos.🙌🏻";"2025-06-05T16:24:11+0000";"";"";""
"964877296876825_1298207705202454/964877296876825_1279125407110684/964877296876825_1279125407110684";"12525";"8089";"2";"964877296876825_1279125407110684";"data";"data.*";"fetched (200)";"2025-11-14 09:14:44.903120";"Facebook:/<post-id>/comments";"Mujeres VALIOSAS PRESIDENTA MUNICIPAL      Y DIPUTADA AL CONGRESO DE ESTADO DE TAMAULIPAS.";"2025-06-05T16:35:54+0000";"0";"0";""
"964877296876825_1298207705202454/474462132406835_1279507167072508";"8214";"7965";"1";"474462132406835_1279507167072508";"data";"data.*";"fetched (200)";"2025-11-14 09:12:22.578189";"Facebook:/<page-id>/posts";"✨ ¡Celebramos 35 años de historia, lucha y unidad en la querida colonia Borreguera! ✨  Me llenó el corazón acompañar a quienes hace 35 años sembraron las raíces de esta gran colonia. Hombres y mujeres valientes que tocaron puertas, que exigieron con dignidad, y que gracias a su esfuerzo y al respaldo de un gran gobernador como el ingeniero Américo Villarreal Guerra, lograron construir lo que hoy es es una colonia fuerte, solidaria y llena de vida.  Gracias a cada fundador, a cada familia que creyó, que soñó y que trabajó. ¡Hoy su legado vive y permanecerá para siempre! 🌟  Festejamos en grande con el grupo musical “José David La Cherna”🎉, pero también llegamos a cumplir compromisos. Hoy, junto a Francisco González Casanova, Gerente de COMAPA Sur, anunciamos una obra muy esperada: la reparación del drenaje en Av. Monterrey.  ¡Gracias Borreguera por recibirme con tanto cariño!  Seguimos construyendo juntos una ciudad de la que nos sintamos cada vez más orgullosos.";"2025-06-06T05:39:54+0000";"";"";""
"964877296876825_1298207705202454/474462132406835_1279507167072508/474462132406835_1279507167072508";"15165";"8214";"2";"474462132406835_1279507167072508";"data";"data.*";"fetched (200)";"2025-11-14 09:16:10.328158";"Facebook:/<post-id>/comments";"🎂👏👏👏";"2025-06-06T05:41:29+0000";"5";"1";""
"TampicoGob/474462132406835_1279507167072508/474462132406835_1279507167072508";"15165";"8214";"2";"474462132406835_1279507167072508";"data";"data.*";"fetched (200)";"2025-11-14 09:16:10.328158";"Facebook:/<post-id>/comments";"🎂👏👏👏";"2025-06-06T05:41:29+0000";"5";"1";""
"964877296876825_1298207705202454/964877296876825_1280613546961870";"8075";"7964";"1";"964877296876825_1280613546961870";"data";"data.*";"fetched (200)";"2025-11-14 09:12:17.895995";"Facebook:/<page-id>/posts";"";"2025-06-07T16:13:27+0000";"";"";""
"964877296876825_1298207705202454/964877296876825_1280613546961870/964877296876825_1280613546961870";"12266";"8075";"2";"964877296876825_1280613546961870";"data";"data.*";"fetched (200)";"2025-11-14 09:14:36.951541";"Facebook:/<post-id>/comments";"Excelente";"2025-06-07T16:18:52+0000";"0";"0";""
