Query_Str,Post_URL,Author_Name,Author_Web_Page_URL,Author_Handle,Verified_Status,UTC_Time,Ads,Tweet_Content,Post_ID,Tweet_URL,Reply_Count,Repost_Count,Like_Count,View_Count,Bookmark_Count,Tweet_Image_URL,Replying_to,Reply_to_Whom,Reply_to_Whom_URL,Reply_to_Whom_Username,Reply_to_Whom_Handle,Language,Type
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-09-11 since:2025-09-10&src=typed_query,Vox Populi Noticias,https://x.com/VoxPopuliNoti,VoxPopuliNoti,True,2025-09-10 03:48:09+00:00,False,"Servicios Públicos de Tampico, reemplaza luminarias en colonias y zona centro El Bosque, Lomas de Chairel y zona centro figuran entre las colonias atendidas https://voxpopulinoticias.com.mx/2025/09/servicios-publicos-de-tampico-reemplaza-luminarias/ #Tampico #Tamaulipas @MonicaVTampico",1965623303315533894,https://x.com/VoxPopuliNoti/status/1965623303315533894,0,0,0,173,0,https://pbs.twimg.com/media/G0dL-e8XAAADQ6R.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-09-11 since:2025-09-10&src=typed_query,M,https://x.com/mbez95,mbez95,False,2025-09-10 20:32:02+00:00,False,Buenas tardes ojalá @Comapa_Sur arregle este problema que tardaron en arreglar y rápidamente otra vez en estás condiciones @elsolde_tampico @TampicoGob @Milenio,1965875936865432021,https://x.com/mbez95/status/1965875936865432021,1,0,0,9,0,https://pbs.twimg.com/media/G0gxvsKXgAAORTa.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-09-11 since:2025-09-10&src=typed_query,M,https://x.com/mbez95,mbez95,False,2025-09-10 21:22:02+00:00,False,@Comapa_Sur @elsolde_tampico @TampicoGob @Milenio Calle corona y Elías piña colonia cambell,1965888520419238008,https://x.com/mbez95/status/1965888520419238008,0,0,0,3,0,,True,mbez95,https://x.com/mbez95,Comapa Sur,mbez95,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-09-12 since:2025-09-11&src=typed_query,Milenio,https://x.com/Milenio,Milenio,True,2025-09-11 00:23:50+00:00,False,"▶️ “Por favor hagan todo para salvar a mi mamá, no le tocaba estar ahí”: hija de la señora Alicia Matías Teodoro, mujer que cubrió con su cuerpo y salvó a bebé de 2 años de explosión de pipa en Iztapalapa, habla sobre la salud de su madre 📹 Lauro Galicia para MILENIO",1965934272377938369,https://x.com/Milenio/status/1965934272377938369,172,2347,17973,1281679,1526,https://pbs.twimg.com/amplify_video_thumb/1965934219575619586/img/GMm41MsoBagC6pHA.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-09-12 since:2025-09-11&src=typed_query,La Razón de México,https://x.com/LaRazon_mx,LaRazon_mx,True,2025-09-11 00:24:48+00:00,False,"▶️ #Video | Diana, vecina de la colonia Lomas de Teotongo, presenció la explosión de una pipa de gas que dejó 56 heridos y un muerto. En solidaridad regala agua a las autoridades y periodistas de la zona #PuentedelaConcordia #Iztapalapa #CDMX 📹: @ivanortizm9 / @LaRazon_mx",1965934514196427117,https://x.com/LaRazon_mx/status/1965934514196427117,36,586,6297,585866,443,https://pbs.twimg.com/amplify_video_thumb/1965934206262939648/img/h15rxwRc1wfQ79Lf.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-09-12 since:2025-09-11&src=typed_query,Media fantasies,https://x.com/mediafantasies,mediafantasies,False,2025-09-11 01:13:13+00:00,False,"#explosión “Por favor hagan todo para salvar a mi mamá, no le tocaba estar ahí”: hija de la señora Alicia Matías Teodoro, mujer que cubrió con su cuerpo y salvó a bebé de 2 años de explosión de pipa en Iztapalapa, habla sobre la salud de su madre.",1965946699182125545,https://x.com/mediafantasies/status/1965946699182125545,21,265,2418,373963,274,https://pbs.twimg.com/amplify_video_thumb/1965934219575619586/img/GMm41MsoBagC6pHA.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-09-12 since:2025-09-11&src=typed_query,Libro Negro,https://x.com/Libro_negro_,Libro_negro_,True,2025-09-11 01:41:53+00:00,False,"🚨 Vean este video 👀 😱 ¿Y a esto como le llamamos? ¿Nepotismo? ¿Nepotismo sentimental? 🧐 Se trata de Alejandro Galvan, quien es jefe de gabinete de Tepic en una llamada con la alcaldesa Geraldine Ponce. Durante el video se observa al jefe de gabinete en el domicilio de una ciudadana, a la cual según esta ayudando, y le dice que Geraldine esta en línea, se escucha a la alcaldesa hablar con la ciudadana y después en una conversación con el Jefe de Gabinete le dice ¿Entonces no vas a llegar a la casa? Aumentando las sospechas de lo que ya todo sabemos, el Jefe de Gabinete de Tepic y la Alcaldesa de Tepic, son pareja. ¿Que paso ahí @Claudiashein? ¿No que en Morena no se permite este tipo de acciones?",1965953912592044518,https://x.com/Libro_negro_/status/1965953912592044518,26,412,979,81347,78,https://pbs.twimg.com/ext_tw_video_thumb/1965953874721734656/pu/img/zVKikq2saztcpFgE.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-09-12 since:2025-09-11&src=typed_query,Ricardo Pinto,https://x.com/pintoperiodista,pintoperiodista,False,2025-09-11 03:59:57+00:00,False,"Jeanette Jara se mandó un ""Tonka Tomicic en la Gala de Viña"" en el backstage del debate. Acá vengo yo, salgan todos de acá .. #debateCHV #debatepresidencial",1965988661826302295,https://x.com/pintoperiodista/status/1965988661826302295,65,221,1777,141909,130,https://pbs.twimg.com/ext_tw_video_thumb/1965988414391529473/pu/img/UOi7gLn7czJUxjGo.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-09-12 since:2025-09-11&src=typed_query,Gildo Garza,https://x.com/GildoGarzaMx,GildoGarzaMx,True,2025-09-11 04:04:01+00:00,False,"#HistoriasDeHuachicol | En abril de 2020, Sergio Carmona apareció junto a Erasmo González Robledo, hoy alcalde de #Madero y entonces diputado presidente de la Comisión de Presupuesto, hombre cercano y mano derecha de Mario Delgado. Años después , ya en enero de 2025, se observa a Erasmo con el vicealmirante Rubén Vargas, cuando este asumió la dirección de la ASIPONA #Tampico tras la salida del capitán Camargo.",1965989681318785052,https://x.com/GildoGarzaMx/status/1965989681318785052,0,174,250,15653,8,https://pbs.twimg.com/media/G0iZMA_XIAAi9km.jpg;https://pbs.twimg.com/media/G0iZMBDWsAE7HDN.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-09-12 since:2025-09-11&src=typed_query,Francia Gyr,https://x.com/GyrFrance,GyrFrance,False,2025-09-11 04:25:47+00:00,False,"Di su nombre: Alicia Matías Teodoro, heroína 🙏🏻✨ #Iztapalapa #pipa #Concordia",1965995159566311790,https://x.com/GyrFrance/status/1965995159566311790,188,2670,25995,1409904,722,https://pbs.twimg.com/media/G0ieLg6aAAAu7DU.jpg,False,,,,,es,Top
