comment_text,published_at,query
MANCHADA Y GROSERA,2025-10-14T06:08:16Z,presidenta municipal de Tampico
MANCHADA Y GROSERA,2025-10-14T06:08:16Z,Presidenta municipal de Tampico
Orquídea te veo por la noche .saludos.,2025-10-14T06:08:21Z,presidenta municipal de Tampico
Orquídea te veo por la noche .saludos.,2025-10-14T06:08:21Z,Presidenta municipal de Tampico
"Un desastre la mandataria. Además de soberbia, destruye nuestros derechos. No a la destrucción de derechos como 1) la privacidad 2) el amparo 3) al dinero en efectivo 4) a la pensión digna. No a la (C6️⃣U6️⃣R6️⃣P) (BIO👹TÉTRICA). No al estado hiper vigilante y total1t4rio. No al plan México para los ricos",2025-10-14T06:10:09Z,presidenta municipal de Tampico
"Un desastre la mandataria. Además de soberbia, destruye nuestros derechos. No a la destrucción de derechos como 1) la privacidad 2) el amparo 3) al dinero en efectivo 4) a la pensión digna. No a la (C6️⃣U6️⃣R6️⃣P) (BIO👹TÉTRICA). No al estado hiper vigilante y total1t4rio. No al plan México para los ricos",2025-10-14T06:10:09Z,Presidenta municipal de Tampico
"El dolor no se puede detener con palabras y la fuerza de la naturaleza es impresionante que no hay para donde moverse y nadie tiene la culpa, pero el sufrimiento de la gente puede tener remedio con la ayuda y el apoyo verdadero y aquí el vídeo se que faltó amor y humildad del gobierno, esperamos que lo que se promete se çumple<br>En paz descansen nuestros hermanos y que sus familias sean compensadas con la paz y el amor de Dios,",2025-10-14T06:15:30Z,presidenta municipal de Tampico
"El dolor no se puede detener con palabras y la fuerza de la naturaleza es impresionante que no hay para donde moverse y nadie tiene la culpa, pero el sufrimiento de la gente puede tener remedio con la ayuda y el apoyo verdadero y aquí el vídeo se que faltó amor y humildad del gobierno, esperamos que lo que se promete se çumple<br>En paz descansen nuestros hermanos y que sus familias sean compensadas con la paz y el amor de Dios,",2025-10-14T06:15:30Z,Presidenta municipal de Tampico
"Es el colmo y una vergüenza este gobierno de morena en todos los niveles, Yo creo que en las siguientes elecciones todos los que no votamos, que nos abstuvimos de votar, debemos votar por opciones nuevas porque sí no éstos idiotas de morena con una minoría pírrica se hacen llamar mayoría y se creen dueños de todo el país cuando sólo votaron por ellos 30 millones cuando somos 130 millones de mexicanos, por lo tanto ellos son una minoría pirryñ",2025-10-14T06:42:07Z,presidenta municipal de Tampico
"Es el colmo y una vergüenza este gobierno de morena en todos los niveles, Yo creo que en las siguientes elecciones todos los que no votamos, que nos abstuvimos de votar, debemos votar por opciones nuevas porque sí no éstos idiotas de morena con una minoría pírrica se hacen llamar mayoría y se creen dueños de todo el país cuando sólo votaron por ellos 30 millones cuando somos 130 millones de mexicanos, por lo tanto ellos son una minoría pirryñ",2025-10-14T06:42:07Z,Presidenta municipal de Tampico
Pues ni que la presidenta hubiera tenido la culpa fueron bien Groseros   Aunque digan lo que digan y reclamen no es culpa de Ella son Ingratos mal agradecidos no entienden son tapados  groseros fuertes groseros no entienden que que esto es cosa de otro Nivel esto no es culpa de nadie es culpa de la Naturaleza  y Solo Dios tiene el Control 🙏🙏🙏,2025-10-14T06:42:28Z,presidenta municipal de Tampico
Pues ni que la presidenta hubiera tenido la culpa fueron bien Groseros   Aunque digan lo que digan y reclamen no es culpa de Ella son Ingratos mal agradecidos no entienden son tapados  groseros fuertes groseros no entienden que que esto es cosa de otro Nivel esto no es culpa de nadie es culpa de la Naturaleza  y Solo Dios tiene el Control 🙏🙏🙏,2025-10-14T06:42:28Z,Presidenta municipal de Tampico
"Ya tienen el poder lo demás no les importa, y no tienen vergüenza pero hay que usar esto en contra de morena para 2027 promover que les mintieron y ellos viven con lujo mientras el pueblo sufre que sirva esto para usarlo en contra del partido, para que sirvió una presidenta en la silla?",2025-10-14T06:48:31Z,presidenta municipal de Tampico
"Ya tienen el poder lo demás no les importa, y no tienen vergüenza pero hay que usar esto en contra de morena para 2027 promover que les mintieron y ellos viven con lujo mientras el pueblo sufre que sirva esto para usarlo en contra del partido, para que sirvió una presidenta en la silla?",2025-10-14T06:48:31Z,Presidenta municipal de Tampico
Que se puede esperar de la herencia maldita que dejo el kks de bienestar danes...,2025-10-14T06:50:43Z,presidenta municipal de Tampico
Que se puede esperar de la herencia maldita que dejo el kks de bienestar danes...,2025-10-14T06:50:43Z,Presidenta municipal de Tampico
Que carretera es ???,2025-10-14T06:51:00Z,presidenta municipal de Tampico
Que carretera es ???,2025-10-14T06:51:00Z,Presidenta municipal de Tampico
Son Gentes bien groseras no tienen ningún respeto y quieren respeto  que triste gente  ingrata todos esos son Groseros y no tienen nada nada de respeto triste citación son malos de corazón,2025-10-14T06:54:50Z,presidenta municipal de Tampico
Son Gentes bien groseras no tienen ningún respeto y quieren respeto  que triste gente  ingrata todos esos son Groseros y no tienen nada nada de respeto triste citación son malos de corazón,2025-10-14T06:54:50Z,Presidenta municipal de Tampico
Buen trabajo,2025-10-14T06:57:23Z,presidenta municipal de Tampico
Buen trabajo,2025-10-14T06:57:23Z,Presidenta municipal de Tampico
"Ignorantes son sin respeto por <a href=""https://www.youtube.com/watch?v=4ezq3EI_PeY&amp;t=1294"">21:34</a>  nadie ni nada ni que la presidenta hubiera tenido la culpa de los desastres naturales groseros ingratos mil veses",2025-10-14T06:57:41Z,presidenta municipal de Tampico
"Ignorantes son sin respeto por <a href=""https://www.youtube.com/watch?v=4ezq3EI_PeY&amp;t=1294"">21:34</a>  nadie ni nada ni que la presidenta hubiera tenido la culpa de los desastres naturales groseros ingratos mil veses",2025-10-14T06:57:41Z,Presidenta municipal de Tampico
"La guayaba y la tostada, buenas para hablar pero inútiles para actuar que desgracia tener gente incompetente y miserable mareada de poder.",2025-10-14T07:03:09Z,presidenta municipal de Tampico
"La guayaba y la tostada, buenas para hablar pero inútiles para actuar que desgracia tener gente incompetente y miserable mareada de poder.",2025-10-14T07:03:09Z,Presidenta municipal de Tampico
Bastante difícil. ¡Dios lis bendiga y guarde! 😢,2025-10-14T07:04:33Z,presidenta municipal de Tampico
Bastante difícil. ¡Dios lis bendiga y guarde! 😢,2025-10-14T07:04:33Z,Presidenta municipal de Tampico
Presidenta mientras hacen el censo que hacemos con los damnificados quédese con ellos para saber lo que es esperar ayuda y el ejército para cuando,2025-10-14T07:07:03Z,presidenta municipal de Tampico
Presidenta mientras hacen el censo que hacemos con los damnificados quédese con ellos para saber lo que es esperar ayuda y el ejército para cuando,2025-10-14T07:07:03Z,Presidenta municipal de Tampico
"Las familias Damnificadas del Frente del Pueblo continúan habitando los inmuebles de Alto Riesgo, dañados por el sismo de 2017 en la CDMX.<br>Llevan esperando Solución 8 años, sin respuesta alguna.<br>Cuando fué Jefa de Gobierno la señora Sheinbaum prometió resolver el problema de los Damnificados del sismo.<br>Solo se ve la ineptitud del gobierno de la 4t.",2025-10-14T07:15:32Z,presidenta municipal de Tampico
"Las familias Damnificadas del Frente del Pueblo continúan habitando los inmuebles de Alto Riesgo, dañados por el sismo de 2017 en la CDMX.<br>Llevan esperando Solución 8 años, sin respuesta alguna.<br>Cuando fué Jefa de Gobierno la señora Sheinbaum prometió resolver el problema de los Damnificados del sismo.<br>Solo se ve la ineptitud del gobierno de la 4t.",2025-10-14T07:15:32Z,Presidenta municipal de Tampico
La gente necesita <br>Ayuda no discurso!!!!,2025-10-14T07:27:07Z,presidenta municipal de Tampico
La gente necesita <br>Ayuda no discurso!!!!,2025-10-14T07:27:07Z,Presidenta municipal de Tampico
Puros inútiles,2025-10-14T07:43:12Z,presidenta municipal de Tampico
Puros inútiles,2025-10-14T07:43:12Z,Presidenta municipal de Tampico
"¿Y EL DINERO DEL FONDEN DONDE ESTÁ, TODO SE LO GASTARON?",2025-10-14T07:46:30Z,presidenta municipal de Tampico
"¿Y EL DINERO DEL FONDEN DONDE ESTÁ, TODO SE LO GASTARON?",2025-10-14T07:46:30Z,Presidenta municipal de Tampico
La precidenta calló con groceria 😮..??<br>Puedes mostrar el vídeo.. él momento..,2025-10-14T07:49:10Z,presidenta municipal de Tampico
