tipo,url,post_url_padre,fecha,texto,num_comentarios
POST,https://facebook.com/monicavtampico/posts/hoy-iniciamos-la-audiencia-ciudadana-aqu%C3%AD-contigo-desde-la-delegaci%C3%B3n-zona-norte/1451989839824239,,Desconocida,"Internet was always just a passing fad,. Predictions that the Internet would revolutionise the way society works have proved wildly inaccurate. Pretty soon, the millions of internet users would simply stop, either bored or frustrated, and rejoin the real world.",40
COMENTARIO,https://facebook.com/monicavtampico/posts/hoy-iniciamos-la-audiencia-ciudadana-aqu%C3%AD-contigo-desde-la-delegaci%C3%B3n-zona-norte/1451989839824239,https://facebook.com/monicavtampico/posts/hoy-iniciamos-la-audiencia-ciudadana-aqu%C3%AD-contigo-desde-la-delegaci%C3%B3n-zona-norte/1451989839824239,Desconocida,Es un gobierno cercano a la gente.,
COMENTARIO,https://facebook.com/monicavtampico/posts/hoy-iniciamos-la-audiencia-ciudadana-aqu%C3%AD-contigo-desde-la-delegaci%C3%B3n-zona-norte/1451989839824239,https://facebook.com/monicavtampico/posts/hoy-iniciamos-la-audiencia-ciudadana-aqu%C3%AD-contigo-desde-la-delegaci%C3%B3n-zona-norte/1451989839824239,Desconocida,Excelente programa presidenta Mónica Villarreal escuchar y servir a los Tampiqueños la prioridad,
COMENTARIO,https://facebook.com/monicavtampico/posts/hoy-iniciamos-la-audiencia-ciudadana-aqu%C3%AD-contigo-desde-la-delegaci%C3%B3n-zona-norte/1451989839824239,https://facebook.com/monicavtampico/posts/hoy-iniciamos-la-audiencia-ciudadana-aqu%C3%AD-contigo-desde-la-delegaci%C3%B3n-zona-norte/1451989839824239,Desconocida,Excelente forma de escuchar al pueblo y ver sus necesidades.,
COMENTARIO,https://facebook.com/monicavtampico/posts/hoy-iniciamos-la-audiencia-ciudadana-aqu%C3%AD-contigo-desde-la-delegaci%C3%B3n-zona-norte/1451989839824239,https://facebook.com/monicavtampico/posts/hoy-iniciamos-la-audiencia-ciudadana-aqu%C3%AD-contigo-desde-la-delegaci%C3%B3n-zona-norte/1451989839824239,Desconocida,Nuestra presidenta siempre al pendiente de los tampiqueños mil gracias!! Excelente programa !!!,
COMENTARIO,https://facebook.com/monicavtampico/posts/hoy-iniciamos-la-audiencia-ciudadana-aqu%C3%AD-contigo-desde-la-delegaci%C3%B3n-zona-norte/1451989839824239,https://facebook.com/monicavtampico/posts/hoy-iniciamos-la-audiencia-ciudadana-aqu%C3%AD-contigo-desde-la-delegaci%C3%B3n-zona-norte/1451989839824239,Desconocida,Más mujeres con compromiso como usted,
COMENTARIO,https://facebook.com/monicavtampico/posts/hoy-iniciamos-la-audiencia-ciudadana-aqu%C3%AD-contigo-desde-la-delegaci%C3%B3n-zona-norte/1451989839824239,https://facebook.com/monicavtampico/posts/hoy-iniciamos-la-audiencia-ciudadana-aqu%C3%AD-contigo-desde-la-delegaci%C3%B3n-zona-norte/1451989839824239,Desconocida,Bravísimo!! Una vez más se comprueba que este nuestra Alcaldesa se preocupa por el bienestar de todos los Tampiqueños gracias a nuestra Alcaldesa!!,
COMENTARIO,https://facebook.com/monicavtampico/posts/hoy-iniciamos-la-audiencia-ciudadana-aqu%C3%AD-contigo-desde-la-delegaci%C3%B3n-zona-norte/1451989839824239,https://facebook.com/monicavtampico/posts/hoy-iniciamos-la-audiencia-ciudadana-aqu%C3%AD-contigo-desde-la-delegaci%C3%B3n-zona-norte/1451989839824239,Desconocida,Excelente programa presidenta Mónica! Tampico Gob,
COMENTARIO,https://facebook.com/monicavtampico/posts/hoy-iniciamos-la-audiencia-ciudadana-aqu%C3%AD-contigo-desde-la-delegaci%C3%B3n-zona-norte/1451989839824239,https://facebook.com/monicavtampico/posts/hoy-iniciamos-la-audiencia-ciudadana-aqu%C3%AD-contigo-desde-la-delegaci%C3%B3n-zona-norte/1451989839824239,Desconocida,Un gobierno cercano a la gente,
COMENTARIO,https://facebook.com/monicavtampico/posts/hoy-iniciamos-la-audiencia-ciudadana-aqu%C3%AD-contigo-desde-la-delegaci%C3%B3n-zona-norte/1451989839824239,https://facebook.com/monicavtampico/posts/hoy-iniciamos-la-audiencia-ciudadana-aqu%C3%AD-contigo-desde-la-delegaci%C3%B3n-zona-norte/1451989839824239,Desconocida,"Se nota su gran compromiso con la ciudadanía, Alcaldesa. Enhorabuena!",
COMENTARIO,https://facebook.com/monicavtampico/posts/hoy-iniciamos-la-audiencia-ciudadana-aqu%C3%AD-contigo-desde-la-delegaci%C3%B3n-zona-norte/1451989839824239,https://facebook.com/monicavtampico/posts/hoy-iniciamos-la-audiencia-ciudadana-aqu%C3%AD-contigo-desde-la-delegaci%C3%B3n-zona-norte/1451989839824239,Desconocida,Que gran programa !!,
COMENTARIO,https://facebook.com/monicavtampico/posts/hoy-iniciamos-la-audiencia-ciudadana-aqu%C3%AD-contigo-desde-la-delegaci%C3%B3n-zona-norte/1451989839824239,https://facebook.com/monicavtampico/posts/hoy-iniciamos-la-audiencia-ciudadana-aqu%C3%AD-contigo-desde-la-delegaci%C3%B3n-zona-norte/1451989839824239,Desconocida,Gracias por todo licenciada Mónica villareal gracias por estar cerca ala gente eso marca la diferencia,
COMENTARIO,https://facebook.com/monicavtampico/posts/hoy-iniciamos-la-audiencia-ciudadana-aqu%C3%AD-contigo-desde-la-delegaci%C3%B3n-zona-norte/1451989839824239,https://facebook.com/monicavtampico/posts/hoy-iniciamos-la-audiencia-ciudadana-aqu%C3%AD-contigo-desde-la-delegaci%C3%B3n-zona-norte/1451989839824239,Desconocida,Gracias por todo ala licenciada Mónica Villareal gracias por estar serca ala gente y escuchar sus peticiones de cada persona Mónica Villareal,
COMENTARIO,https://facebook.com/monicavtampico/posts/hoy-iniciamos-la-audiencia-ciudadana-aqu%C3%AD-contigo-desde-la-delegaci%C3%B3n-zona-norte/1451989839824239,https://facebook.com/monicavtampico/posts/hoy-iniciamos-la-audiencia-ciudadana-aqu%C3%AD-contigo-desde-la-delegaci%C3%B3n-zona-norte/1451989839824239,Desconocida,Muchas gracias presidenta Monica villarreal por estar al pendiente de las necesidades de cada uno,
COMENTARIO,https://facebook.com/monicavtampico/posts/hoy-iniciamos-la-audiencia-ciudadana-aqu%C3%AD-contigo-desde-la-delegaci%C3%B3n-zona-norte/1451989839824239,https://facebook.com/monicavtampico/posts/hoy-iniciamos-la-audiencia-ciudadana-aqu%C3%AD-contigo-desde-la-delegaci%C3%B3n-zona-norte/1451989839824239,Desconocida,La Mejor!! Muchas felicidades Presidenta Monica Villarreal,
COMENTARIO,https://facebook.com/monicavtampico/posts/hoy-iniciamos-la-audiencia-ciudadana-aqu%C3%AD-contigo-desde-la-delegaci%C3%B3n-zona-norte/1451989839824239,https://facebook.com/monicavtampico/posts/hoy-iniciamos-la-audiencia-ciudadana-aqu%C3%AD-contigo-desde-la-delegaci%C3%B3n-zona-norte/1451989839824239,Desconocida,Excelente presidenta,
COMENTARIO,https://facebook.com/monicavtampico/posts/hoy-iniciamos-la-audiencia-ciudadana-aqu%C3%AD-contigo-desde-la-delegaci%C3%B3n-zona-norte/1451989839824239,https://facebook.com/monicavtampico/posts/hoy-iniciamos-la-audiencia-ciudadana-aqu%C3%AD-contigo-desde-la-delegaci%C3%B3n-zona-norte/1451989839824239,Desconocida,Muchas Gracias Presidenta por habernos atendido!,
COMENTARIO,https://facebook.com/monicavtampico/posts/hoy-iniciamos-la-audiencia-ciudadana-aqu%C3%AD-contigo-desde-la-delegaci%C3%B3n-zona-norte/1451989839824239,https://facebook.com/monicavtampico/posts/hoy-iniciamos-la-audiencia-ciudadana-aqu%C3%AD-contigo-desde-la-delegaci%C3%B3n-zona-norte/1451989839824239,Desconocida,El mercado del norte agradecidos con usted!,
COMENTARIO,https://facebook.com/monicavtampico/posts/hoy-iniciamos-la-audiencia-ciudadana-aqu%C3%AD-contigo-desde-la-delegaci%C3%B3n-zona-norte/1451989839824239,https://facebook.com/monicavtampico/posts/hoy-iniciamos-la-audiencia-ciudadana-aqu%C3%AD-contigo-desde-la-delegaci%C3%B3n-zona-norte/1451989839824239,Desconocida,Siempre cerca de la gente nuestra presidenta!!!!,
COMENTARIO,https://facebook.com/monicavtampico/posts/hoy-iniciamos-la-audiencia-ciudadana-aqu%C3%AD-contigo-desde-la-delegaci%C3%B3n-zona-norte/1451989839824239,https://facebook.com/monicavtampico/posts/hoy-iniciamos-la-audiencia-ciudadana-aqu%C3%AD-contigo-desde-la-delegaci%C3%B3n-zona-norte/1451989839824239,Desconocida,Con estas grandes acciones se fortalece el bienestar por un Tampico para todos gracias Alcaldesa Monica Villarreal,
COMENTARIO,https://facebook.com/monicavtampico/posts/hoy-iniciamos-la-audiencia-ciudadana-aqu%C3%AD-contigo-desde-la-delegaci%C3%B3n-zona-norte/1451989839824239,https://facebook.com/monicavtampico/posts/hoy-iniciamos-la-audiencia-ciudadana-aqu%C3%AD-contigo-desde-la-delegaci%C3%B3n-zona-norte/1451989839824239,Desconocida,Gracias por ocuparse por nuestro Tampico y cuidar de todos!!,
COMENTARIO,https://facebook.com/monicavtampico/posts/hoy-iniciamos-la-audiencia-ciudadana-aqu%C3%AD-contigo-desde-la-delegaci%C3%B3n-zona-norte/1451989839824239,https://facebook.com/monicavtampico/posts/hoy-iniciamos-la-audiencia-ciudadana-aqu%C3%AD-contigo-desde-la-delegaci%C3%B3n-zona-norte/1451989839824239,Desconocida,Firmes y dignos presidenta la nueva croc,
COMENTARIO,https://facebook.com/monicavtampico/posts/hoy-iniciamos-la-audiencia-ciudadana-aqu%C3%AD-contigo-desde-la-delegaci%C3%B3n-zona-norte/1451989839824239,https://facebook.com/monicavtampico/posts/hoy-iniciamos-la-audiencia-ciudadana-aqu%C3%AD-contigo-desde-la-delegaci%C3%B3n-zona-norte/1451989839824239,Desconocida,Con mucho exito. Lic monica villarrrl,
COMENTARIO,https://facebook.com/monicavtampico/posts/hoy-iniciamos-la-audiencia-ciudadana-aqu%C3%AD-contigo-desde-la-delegaci%C3%B3n-zona-norte/1451989839824239,https://facebook.com/monicavtampico/posts/hoy-iniciamos-la-audiencia-ciudadana-aqu%C3%AD-contigo-desde-la-delegaci%C3%B3n-zona-norte/1451989839824239,Desconocida,Excelente es lo q la gente necesita,
