fecha_inicio_semana,y_current,y_true,y_pred,y_true_model,y_pred_model,error,selected_feature_count,selected_features,best_alpha,inner_tuning_metric,inner_best_score,inner_split_count,horizonte_sem,target_mode,feature_mode,transform_mode,run_id,model_name
2025-09-01,0.03283752499294757,0.03708317752120401,0.11564061757931648,0.03708317752120401,0.11564061757931648,0.07855744005811247,30,"v5_basura_neto_lag2,v5_prevencion_neto_lag3,v5_obras_neto,v5_vialidad_neto_lag4,v5_obras_neto_lag1,v5_prevencion_neto_lag2,v5_basura_neto_lag5,v5_alumbrado_neto_lag2,sentimiento_medios_lag6,v5_agua_neto,v5_delitos_neto,v5_alumbrado_neto_lag1,v5_agua_neto_lag5,v5_obras_neto_lag4,v5_agua_neto_lag1,v5_delitos_neto_lag4,v5_agua_neto_lag6,v5_alumbrado_neto_lag6,v5_prevencion_neto_lag4,sentimiento_medios,v5_corrupcion_neto_lag6,sentimiento_medios_lag4,v5_corrupcion_neto_lag4,v5_morena_neto_lag3,v5_basura_neto,v5_vialidad_neto,v5_delitos_neto_lag2,v5_corrupcion_neto,v5_agua_neto_lag3,v5_morena_neto",10000.0,mae,0.09833115563158,3,4,nivel,corr,standard,E1_v5_clean,ridge_tscv
2025-09-08,0.07504383112172774,0.04083024096213657,0.1114436580692735,0.04083024096213657,0.1114436580692735,0.07061341710713694,30,"v5_basura_neto_lag2,v5_obras_neto,v5_prevencion_neto_lag3,v5_vialidad_neto_lag4,v5_obras_neto_lag1,v5_basura_neto_lag5,v5_prevencion_neto_lag2,v5_alumbrado_neto_lag2,sentimiento_medios_lag6,v5_alumbrado_neto_lag1,v5_agua_neto,v5_obras_neto_lag4,v5_agua_neto_lag5,v5_delitos_neto,v5_agua_neto_lag6,v5_agua_neto_lag1,v5_delitos_neto_lag4,v5_corrupcion_neto_lag6,sentimiento_medios,v5_corrupcion_neto_lag4,sentimiento_medios_lag4,v5_prevencion_neto_lag4,v5_basura_neto,v5_delitos_neto_lag2,v5_alumbrado_neto_lag6,v5_vialidad_neto,v5_agua_neto_lag3,sentimiento_medios_lag1,v5_obras_neto_lag5,v5_morena_neto",10000.0,mae,0.09505745916805564,3,4,nivel,corr,standard,E1_v5_clean,ridge_tscv
2025-09-15,0.2441502073228642,-0.03166218933480316,0.11051883696926551,-0.03166218933480316,0.11051883696926551,0.14218102630406868,30,"v5_basura_neto_lag2,v5_obras_neto,v5_prevencion_neto_lag3,v5_obras_neto_lag1,v5_vialidad_neto_lag4,v5_prevencion_neto_lag2,v5_alumbrado_neto_lag2,sentimiento_medios_lag6,v5_agua_neto,v5_agua_neto_lag5,v5_obras_neto_lag4,v5_delitos_neto,v5_alumbrado_neto_lag1,v5_agua_neto_lag6,v5_agua_neto_lag1,v5_corrupcion_neto_lag4,sentimiento_medios,v5_corrupcion_neto_lag6,v5_delitos_neto_lag4,sentimiento_medios_lag4,v5_agua_neto_lag3,v5_basura_neto,v5_alumbrado_neto_lag6,v5_vialidad_neto,v5_delitos_neto_lag2,v5_obras_neto_lag5,v5_basura_neto_lag5,v5_basura_neto_lag4,sentimiento_medios_lag1,v5_alumbrado_neto_lag4",10000.0,mae,0.09815722900460545,3,4,nivel,corr,standard,E1_v5_clean,ridge_tscv
2025-09-22,0.03533746157396873,0.1674127209149191,0.10711963814880625,0.1674127209149191,0.10711963814880625,-0.06029308276611285,30,"v5_basura_neto_lag2,v5_obras_neto_lag1,v5_prevencion_neto_lag3,v5_obras_neto,v5_vialidad_neto_lag4,v5_prevencion_neto_lag2,sentimiento_medios_lag6,v5_agua_neto,v5_delitos_neto,v5_agua_neto_lag5,v5_alumbrado_neto_lag2,v5_obras_neto_lag4,sentimiento_medios,v5_agua_neto_lag6,v5_agua_neto_lag1,v5_corrupcion_neto_lag6,v5_morena_neto,sentimiento_medios_lag4,v5_delitos_neto_lag4,v5_corrupcion_neto_lag4,v5_alumbrado_neto_lag6,v5_delitos_neto_lag2,sentimiento_medios_lag1,v5_basura_neto_lag4,v5_agua_neto_lag3,v5_alumbrado_neto_lag1,v5_vialidad_neto,v5_basura_neto,v5_alumbrado_neto_lag4,v5_obras_neto_lag5",10000.0,mae,0.09698916374508114,3,4,nivel,corr,standard,E1_v5_clean,ridge_tscv
2025-09-29,0.03708317752120401,0.1348235807179079,0.10900810961856787,0.1348235807179079,0.10900810961856787,-0.02581547109934003,30,"v5_basura_neto_lag2,v5_obras_neto_lag1,v5_obras_neto,v5_prevencion_neto_lag3,v5_vialidad_neto_lag4,v5_prevencion_neto_lag2,sentimiento_medios_lag6,v5_agua_neto_lag5,v5_alumbrado_neto_lag2,v5_delitos_neto,v5_agua_neto,v5_agua_neto_lag6,sentimiento_medios,v5_obras_neto_lag4,v5_corrupcion_neto_lag6,v5_agua_neto_lag1,v5_morena_neto,sentimiento_medios_lag4,v5_delitos_neto_lag4,v5_corrupcion_neto_lag4,v5_basura_neto_lag4,v5_delitos_neto_lag2,v5_agua_neto_lag3,v5_alumbrado_neto_lag1,sentimiento_medios_lag1,y_t_aceptacion_digital_lag3,v5_vialidad_neto_lag2,v5_obras_neto_lag5,v5_alumbrado_neto_lag4,v5_corrupcion_neto_lag1",10000.0,mae,0.09474190144200494,3,4,nivel,corr,standard,E1_v5_clean,ridge_tscv
2025-10-06,0.04083024096213657,0.1706579055696051,0.10878482717392662,0.1706579055696051,0.10878482717392662,-0.06187307839567849,30,"v5_basura_neto_lag2,v5_obras_neto_lag1,v5_obras_neto,v5_prevencion_neto_lag3,v5_vialidad_neto_lag4,v5_prevencion_neto_lag2,sentimiento_medios_lag6,v5_agua_neto_lag5,v5_alumbrado_neto_lag2,v5_delitos_neto,v5_agua_neto,v5_agua_neto_lag6,v5_obras_neto_lag4,sentimiento_medios,v5_corrupcion_neto_lag6,v5_morena_neto,sentimiento_medios_lag4,v5_corrupcion_neto_lag4,v5_delitos_neto_lag4,v5_agua_neto_lag1,v5_basura_neto_lag4,v5_delitos_neto_lag2,v5_alumbrado_neto_lag1,v5_agua_neto_lag3,sentimiento_medios_lag1,y_t_aceptacion_digital_lag3,v5_alumbrado_neto_lag4,v5_vialidad_neto_lag2,v5_obras_neto_lag5,v5_corrupcion_neto_lag1",10000.0,mae,0.09486195455717833,3,4,nivel,corr,standard,E1_v5_clean,ridge_tscv
2025-10-13,-0.03166218933480316,0.06925627417646835,0.10971112614888161,0.06925627417646835,0.10971112614888161,0.04045485197241326,30,"v5_basura_neto_lag2,v5_obras_neto_lag1,v5_obras_neto,v5_prevencion_neto_lag3,v5_vialidad_neto_lag4,v5_prevencion_neto_lag2,sentimiento_medios_lag6,v5_agua_neto_lag5,v5_alumbrado_neto_lag2,v5_delitos_neto,v5_agua_neto_lag6,v5_corrupcion_neto_lag6,sentimiento_medios,v5_obras_neto_lag4,v5_corrupcion_neto_lag4,v5_delitos_neto_lag4,sentimiento_medios_lag4,v5_basura_neto_lag4,v5_morena_neto,v5_delitos_neto_lag2,v5_agua_neto_lag1,v5_agua_neto,v5_alumbrado_neto_lag4,v5_vialidad_neto_lag2,sentimiento_medios_lag1,v5_alumbrado_neto_lag1,v5_obras_neto_lag5,v5_agua_neto_lag3,v5_morena_neto_lag1,y_t_aceptacion_digital_lag3",10000.0,mae,0.09453625608692025,3,4,nivel,corr,standard,E1_v5_clean,ridge_tscv
2025-10-20,0.1674127209149191,0.218016998769719,0.10943295226114828,0.218016998769719,0.10943295226114828,-0.10858404650857072,30,"v5_basura_neto_lag2,v5_obras_neto_lag1,v5_obras_neto,v5_prevencion_neto_lag3,v5_vialidad_neto_lag4,v5_prevencion_neto_lag2,sentimiento_medios_lag6,v5_alumbrado_neto_lag2,v5_agua_neto_lag5,v5_delitos_neto,v5_corrupcion_neto_lag6,v5_agua_neto_lag6,sentimiento_medios,v5_obras_neto_lag4,v5_corrupcion_neto_lag4,sentimiento_medios_lag4,v5_delitos_neto_lag4,v5_agua_neto_lag1,v5_basura_neto_lag4,v5_morena_neto,v5_agua_neto,v5_delitos_neto_lag2,v5_alumbrado_neto_lag4,sentimiento_medios_lag1,v5_agua_neto_lag3,v5_obras_neto_lag5,v5_vialidad_neto_lag2,v5_alumbrado_neto_lag1,v5_morena_neto_lag6,y_t_aceptacion_digital_lag3",10000.0,mae,0.09678405737239416,3,4,nivel,corr,standard,E1_v5_clean,ridge_tscv
2025-10-27,0.1348235807179079,0.1275159595753403,0.11260077016657918,0.1275159595753403,0.11260077016657918,-0.014915189408761104,30,"v5_basura_neto_lag2,v5_obras_neto_lag1,v5_obras_neto,v5_prevencion_neto_lag3,sentimiento_medios_lag6,v5_agua_neto_lag5,v5_alumbrado_neto_lag2,v5_prevencion_neto_lag2,v5_vialidad_neto_lag4,v5_delitos_neto,v5_agua_neto_lag6,v5_obras_neto_lag4,v5_corrupcion_neto_lag4,v5_corrupcion_neto_lag6,v5_delitos_neto_lag4,sentimiento_medios_lag4,sentimiento_medios,v5_delitos_neto_lag2,v5_alumbrado_neto_lag4,v5_vialidad_neto_lag2,v5_agua_neto,v5_obras_neto_lag5,v5_alumbrado_neto_lag6,v5_alumbrado_neto_lag1,y_t_aceptacion_digital_lag3,v5_morena_neto,sentimiento_medios_lag1,v5_corrupcion_neto_lag1,v5_agua_neto_lag1,v5_agua_neto_lag3",10000.0,mae,0.09395390560040305,3,4,nivel,corr,standard,E1_v5_clean,ridge_tscv
2025-11-03,0.1706579055696051,0.2796059620794268,0.11270638191687614,0.2796059620794268,0.11270638191687614,-0.16689958016255063,30,"v5_basura_neto_lag2,v5_obras_neto,v5_obras_neto_lag1,v5_prevencion_neto_lag3,sentimiento_medios_lag6,v5_agua_neto_lag5,v5_alumbrado_neto_lag2,v5_prevencion_neto_lag2,v5_vialidad_neto_lag4,v5_delitos_neto,v5_agua_neto_lag6,v5_obras_neto_lag4,v5_corrupcion_neto_lag4,v5_corrupcion_neto_lag6,v5_delitos_neto_lag4,sentimiento_medios_lag4,sentimiento_medios,v5_delitos_neto_lag2,v5_alumbrado_neto_lag4,v5_vialidad_neto_lag2,v5_agua_neto,v5_obras_neto_lag5,v5_alumbrado_neto_lag6,v5_alumbrado_neto_lag1,y_t_aceptacion_digital_lag3,v5_morena_neto,v5_corrupcion_neto_lag1,v5_agua_neto_lag1,sentimiento_medios_lag1,v5_vialidad_neto",10000.0,mae,0.09364648001327336,3,4,nivel,corr,standard,E1_v5_clean,ridge_tscv
